Clase,Sexo,Edad,Precio,Survived
S,female,A,B,Si
P,female,A,A,Si
P,female,M,A,Si
S,female,M,C,Si
S,female,N,B,Si
S,female,N,B,Si
P,female,A,A,Si
P,female,J,A,Si
P,female,A,A,Si
S,female,J,B,Si
P,female,M,B,Si
P,female,A,A,Si
P,female,M,A,Si
S,female,A,C,Si
P,female,A,A,Si
S,female,J,B,Si
P,female,A,A,Si
P,female,J,A,Si
P,female,M,A,Si
S,female,A,B,Si
S,female,J,B,Si
S,female,J,A,Si
P,female,A,A,Si
S,female,J,A,Si
S,female,N,B,Si
P,female,J,A,Si
S,female,A,C,Si
P,female,J,A,Si
S,female,J,B,Si
P,female,A,A,Si
S,female,A,B,Si
P,female,J,A,Si
P,female,J,A,Si
S,female,M,C,Si
P,female,J,A,Si
P,female,J,A,Si
P,female,A,A,Si
S,female,A,C,Si
S,female,N,B,Si
S,female,A,B,Si
P,female,A,A,Si
P,female,J,A,Si
S,female,A,C,Si
S,female,N,B,Si
S,female,M,A,Si
P,female,A,A,Si
P,female,A,A,Si
P,female,M,A,Si
S,female,M,C,No
S,female,M,B,Si
P,female,M,A,Si
P,female,J,A,Si
P,female,M,B,Si
S,female,A,B,Si
P,female,A,A,Si
P,female,M,A,Si
P,female,M,A,Si
P,female,A,A,Si
P,female,A,B,Si
P,female,A,A,Si
P,female,J,B,Si
S,female,M,B,No
P,female,M,A,Si
P,female,M,B,Si
S,female,M,C,Si
S,female,A,C,Si
P,female,M,A,Si
S,female,A,B,Si
P,female,M,A,Si
S,female,J,B,Si
P,female,J,B,Si
T,male,J,C,No
T,male,J,C,No
P,male,J,A,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,J,A,No
T,male,J,C,No
T,male,J,C,No
T,male,J,B,No
T,male,J,C,No
T,male,J,C,No
P,male,J,A,Si
P,male,J,A,No
T,male,J,C,No
T,male,J,C,No
P,male,J,A,No
S,male,J,A,No
T,male,J,C,Si
T,male,J,C,No
S,male,J,C,No
S,male,J,B,No
T,male,J,C,No
P,male,J,A,No
T,male,J,C,No
S,male,J,C,No
S,male,J,B,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,J,C,No
T,male,J,C,Si
T,male,J,C,No
T,male,J,C,No
T,male,J,C,Si
T,male,J,C,No
S,male,J,C,Si
T,male,J,C,No
S,male,J,C,No
S,male,J,C,No
S,male,J,C,No
T,male,J,C,No
T,male,J,B,No
T,male,J,C,Si
T,male,J,C,Si
T,male,J,C,No
T,male,J,C,Si
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,B,No
S,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,B,No
P,male,J,A,Si
T,male,J,C,No
T,male,J,C,No
P,male,J,A,No
T,male,J,C,No
T,male,J,C,No
S,male,J,A,No
T,male,J,C,Si
T,male,J,C,No
S,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,B,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
P,male,J,A,Si
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
P,male,J,A,No
T,male,J,C,No
T,male,J,C,No
S,male,J,C,No
T,male,J,C,No
P,male,J,A,Si
T,male,J,C,Si
T,male,J,B,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,B,Si
T,male,J,C,No
T,male,J,B,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,J,A,No
S,male,J,C,No
T,male,J,C,Si
S,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,A,No
S,male,J,A,No
T,male,J,B,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,J,B,No
S,male,J,C,No
S,male,J,C,No
T,male,J,B,No
T,male,J,B,No
P,male,J,A,No
T,male,J,C,No
S,male,J,C,No
T,male,J,C,Si
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,J,B,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,J,C,No
T,male,J,C,No
S,male,J,C,No
S,male,J,C,No
T,male,J,C,No
T,male,J,C,No
T,male,J,C,No
S,male,N,B,Si
S,male,N,B,Si
S,male,N,B,Si
P,male,N,A,Si
S,male,N,B,Si
S,male,N,B,Si
P,male,N,A,Si
S,male,N,B,Si
S,male,N,C,Si
P,male,N,A,Si
S,male,N,B,Si
S,male,N,B,Si
