"Genero","Edad","Efectivo","Online","GastoMedio","G"
"Hombre",53,"Si","No",211.87,"R"
"Mujer",42,"Si","Si",254.69,"R"
"Hombre",24,"Si","No",138.44,"V"
"Hombre",63,"No","Si",189.42,"A"
"Mujer",22,"No","Si",130.28,"V"
"Hombre",37,"Si","No",217.2,"R"
"Hombre",29,"No","No",153.72,"A"
"Hombre",59,"No","No",207.68,"R"
"Hombre",36,"No","No",221.82,"R"
"Mujer",46,"Si","No",261.61,"R"
"Mujer",68,"Si","No",177.22,"A"
"Hombre",64,"No","No",193.9,"A"
"Hombre",58,"Si","Si",213.7,"R"
"Hombre",66,"No","No",168.23,"A"
"Hombre",53,"No","No",225.91,"R"
"Hombre",57,"Si","Si",211.94,"R"
"Mujer",59,"No","No",235.38,"R"
"Mujer",27,"Si","Si",177.73,"A"
"Hombre",52,"Si","Si",221.69,"R"
"Mujer",47,"Si","Si",263.02,"R"
"Hombre",68,"Si","Si",164.18,"A"
"Hombre",63,"No","No",202.28,"R"
"Mujer",62,"No","No",219.31,"R"
"Mujer",48,"No","Si",263.03,"R"
"Hombre",42,"No","No",220.07,"R"
"Mujer",30,"Si","Si",200.82,"R"
"Hombre",68,"Si","Si",169.11,"A"
"Hombre",31,"No","No",182.43,"A"
"Hombre",18,"No","Si",84.21,"M"
"Hombre",53,"Si","Si",224.1,"R"
"Mujer",49,"No","Si",262.65,"R"
"Hombre",24,"No","Si",148.33,"V"
"Hombre",56,"No","Si",229.4,"R"
"Mujer",53,"Si","Si",256.83,"R"
"Mujer",63,"No","Si",213.04,"R"
"Hombre",35,"No","Si",189.62,"A"
"Mujer",50,"Si","Si",258.13,"R"
"Mujer",37,"No","Si",239.51,"R"
"Mujer",31,"Si","No",207.31,"R"
"Hombre",30,"Si","Si",174.17,"A"
"Hombre",38,"Si","No",199.01,"A"
"Hombre",27,"No","No",158.44,"A"
"Mujer",34,"Si","No",222.61,"R"
"Hombre",24,"Si","Si",127.53,"V"
"Mujer",69,"Si","Si",166.46,"A"
"Mujer",54,"No","Si",250.55,"R"
"Hombre",37,"Si","Si",210.26,"R"
"Mujer",56,"Si","Si",244.91,"R"
"Hombre",45,"No","No",224.91,"R"
"Hombre",24,"Si","No",138.87,"V"
"Hombre",51,"Si","Si",235.72,"R"
"Hombre",55,"Si","No",225.68,"R"
"Hombre",26,"Si","No",146.79,"V"
"Mujer",38,"Si","No",239.66,"R"
"Hombre",57,"No","No",220.16,"R"
"Mujer",21,"Si","Si",119.65,"V"
"Mujer",36,"Si","No",234.92,"R"
"Hombre",52,"Si","No",218.09,"R"
"Mujer",38,"Si","Si",240.82,"R"
"Hombre",35,"No","No",199.67,"A"
"Mujer",70,"Si","Si",161.91,"A"
"Mujer",52,"Si","Si",258.18,"R"
"Hombre",54,"Si","No",215.44,"R"
"Mujer",51,"No","Si",259.82,"R"
"Hombre",61,"Si","No",216.42,"R"
"Hombre",33,"No","No",198.61,"A"
"Hombre",44,"No","Si",219.49,"R"
"Hombre",50,"No","No",230.63,"R"
"Hombre",21,"No","Si",126.44,"V"
"Hombre",63,"Si","Si",199.33,"A"
"Hombre",40,"Si","Si",211.87,"R"
"Hombre",22,"Si","No",132.11,"V"
"Hombre",18,"No","Si",91.23,"M"
"Hombre",30,"Si","Si",182.66,"A"
"Hombre",21,"No","Si",117.68,"V"
"Hombre",52,"Si","No",215.38,"R"
"Hombre",19,"No","Si",105.24,"V"
"Hombre",70,"Si","Si",138.77,"V"
"Mujer",57,"Si","Si",245.87,"R"
"Hombre",61,"No","No",189.21,"A"
"Hombre",69,"Si","Si",170.62,"A"
"Mujer",49,"No","No",260.17,"R"
"Mujer",23,"No","Si",143.25,"V"
"Mujer",50,"No","No",261.03,"R"
"Mujer",47,"No","No",260.41,"R"
"Mujer",60,"Si","No",232.09,"R"
"Mujer",57,"Si","Si",241.17,"R"
"Mujer",67,"No","No",181.43,"A"
"Mujer",31,"No","Si",209.11,"R"
"Mujer",42,"Si","Si",256.76,"R"
"Mujer",52,"No","No",258.45,"R"
"Hombre",20,"No","No",99.16,"M"
"Mujer",18,"Si","No",87.8,"M"
"Mujer",43,"Si","Si",258.44,"R"
"Mujer",28,"Si","Si",185.52,"A"
"Mujer",40,"Si","Si",251.66,"R"
"Mujer",44,"Si","Si",260.17,"R"
"Hombre",26,"Si","Si",156.45,"A"
"Mujer",70,"Si","No",159.06,"A"
"Hombre",45,"Si","No",227.85,"R"
"Hombre",18,"No","Si",79.86,"M"
"Mujer",38,"Si","Si",243.74,"R"
"Mujer",36,"Si","Si",235.39,"R"
"Hombre",32,"Si","No",186.55,"A"
"Mujer",62,"Si","No",221.7,"R"
"Hombre",49,"Si","No",233.52,"R"
"Hombre",36,"No","Si",195.21,"A"
"Mujer",42,"No","Si",256.45,"R"
"Mujer",18,"No","No",87.79,"M"
"Hombre",27,"Si","Si",148.89,"V"
"Hombre",41,"No","No",223.58,"R"
"Hombre",26,"No","No",147.56,"V"
"Hombre",22,"No","No",126.29,"V"
"Mujer",61,"Si","Si",225.85,"R"
"Mujer",20,"Si","Si",113.35,"V"
"Hombre",50,"Si","Si",220.38,"R"
"Mujer",70,"Si","Si",163.2,"A"
"Mujer",25,"Si","Si",158.4,"A"
"Hombre",51,"No","No",235.73,"R"
"Mujer",65,"No","No",201.75,"R"
"Hombre",24,"No","Si",137.42,"V"
"Hombre",45,"Si","No",230.69,"R"
"Mujer",58,"Si","Si",240.91,"R"
"Hombre",28,"No","Si",153.11,"A"
"Hombre",68,"Si","No",166.53,"A"
"Hombre",27,"No","No",137.96,"V"
"Hombre",54,"Si","Si",222.2,"R"
"Hombre",58,"No","Si",213.04,"R"
"Hombre",62,"Si","Si",200.73,"R"
"Hombre",65,"Si","Si",183.76,"A"
"Mujer",51,"Si","No",259.1,"R"
"Mujer",27,"No","Si",176.01,"A"
"Mujer",23,"Si","Si",144.98,"V"
"Hombre",49,"Si","No",226.29,"R"
"Mujer",46,"No","No",260.57,"R"
"Mujer",57,"No","No",242.04,"R"
"Hombre",49,"No","No",238.5,"R"
"Mujer",42,"Si","Si",252.69,"R"
"Hombre",57,"Si","Si",207.23,"R"
"Mujer",41,"No","No",255.33,"R"
"Mujer",68,"No","No",174.93,"A"
"Hombre",69,"Si","No",173.38,"A"
"Mujer",67,"Si","Si",184.38,"A"
"Hombre",30,"No","No",181.39,"A"
"Mujer",36,"No","No",235.71,"R"
"Mujer",55,"Si","No",247.69,"R"
"Hombre",64,"Si","Si",194.72,"A"
"Hombre",64,"No","No",188.2,"A"
"Hombre",62,"Si","No",201.11,"R"
"Mujer",58,"Si","Si",235.82,"R"
"Hombre",24,"Si","No",135.15,"V"
"Mujer",36,"Si","No",235.05,"R"
"Mujer",50,"Si","Si",259.16,"R"
"Hombre",21,"No","No",107.46,"V"
"Mujer",18,"Si","Si",90.82,"M"
"Hombre",44,"No","Si",227.47,"R"
"Mujer",65,"Si","Si",196.44,"A"
"Hombre",36,"Si","Si",195.56,"A"
"Hombre",50,"Si","No",223.47,"R"
"Mujer",59,"Si","No",234.68,"R"
"Mujer",56,"No","Si",243.55,"R"
"Hombre",41,"No","No",213.26,"R"
"Mujer",38,"Si","Si",244.9,"R"
"Hombre",58,"Si","No",220.01,"R"
"Hombre",68,"No","Si",176.39,"A"
"Hombre",26,"Si","No",149.98,"V"
"Mujer",60,"Si","Si",228.87,"R"
"Hombre",63,"No","No",191.97,"A"
"Mujer",44,"Si","Si",257.35,"R"
"Mujer",60,"Si","No",231.24,"R"
"Hombre",42,"Si","No",205.82,"R"
"Hombre",64,"Si","Si",194.2,"A"
"Hombre",37,"No","Si",205.93,"R"
"Mujer",51,"Si","Si",257.19,"R"
"Mujer",51,"No","No",259.03,"R"
"Hombre",31,"No","No",168.36,"A"
"Hombre",63,"No","No",204.46,"R"
"Hombre",41,"Si","No",223.56,"R"
"Hombre",39,"No","Si",212.45,"R"
"Hombre",61,"No","No",208,"R"
"Mujer",40,"Si","Si",250.16,"R"
"Mujer",36,"Si","Si",235.42,"R"
"Hombre",42,"No","No",215.4,"R"
"Mujer",36,"Si","Si",233.07,"R"
"Hombre",54,"No","Si",216.5,"R"
"Hombre",18,"Si","Si",89.41,"M"
"Mujer",28,"Si","Si",187.2,"A"
"Hombre",40,"Si","Si",212.91,"R"
"Mujer",26,"Si","Si",163.26,"A"
"Mujer",18,"Si","Si",84.98,"M"
"Mujer",53,"Si","Si",254.76,"R"
"Mujer",39,"Si","Si",247.64,"R"
"Hombre",61,"No","No",196.35,"A"
"Hombre",48,"No","Si",213.95,"R"
"Mujer",30,"No","Si",199.6,"A"
"Mujer",26,"Si","No",169.6,"A"
"Hombre",65,"No","No",182.98,"A"
"Mujer",68,"No","Si",177.61,"A"
"Mujer",24,"Si","Si",152.27,"A"
"Mujer",45,"No","No",262.95,"R"
"Mujer",53,"Si","No",252.61,"R"
"Hombre",51,"No","Si",229.25,"R"
"Mujer",29,"No","No",194.24,"A"
"Mujer",69,"Si","Si",168.9,"A"
"Mujer",66,"Si","Si",195.79,"A"
"Mujer",66,"Si","Si",192.39,"A"
"Mujer",62,"Si","Si",218.23,"R"
"Mujer",43,"Si","No",254.76,"R"
"Hombre",62,"Si","No",193.19,"A"
"Mujer",36,"Si","Si",233.32,"R"
"Mujer",39,"Si","Si",243.36,"R"
"Mujer",36,"Si","Si",234.07,"R"
"Hombre",36,"No","No",202.82,"R"
"Hombre",42,"No","No",206.43,"R"
"Hombre",19,"Si","No",114.88,"V"
"Hombre",35,"Si","Si",207.64,"R"
"Mujer",24,"No","Si",149.85,"V"
"Hombre",32,"Si","Si",192.26,"A"
"Hombre",32,"Si","Si",182.26,"A"
"Hombre",51,"No","Si",227.18,"R"
"Hombre",47,"No","No",221.42,"R"
"Hombre",69,"Si","Si",172.63,"A"
"Mujer",53,"Si","Si",253.96,"R"
"Mujer",23,"Si","Si",140.87,"V"
"Mujer",25,"Si","No",158.19,"A"
"Mujer",31,"No","Si",206.18,"R"
"Hombre",20,"Si","No",108.23,"V"
"Hombre",59,"No","No",210.73,"R"
"Hombre",58,"No","Si",214.41,"R"
"Mujer",69,"Si","No",170.48,"A"
"Hombre",41,"No","No",213.06,"R"
"Hombre",39,"No","No",213.43,"R"
"Mujer",19,"Si","Si",99.76,"M"
"Hombre",45,"Si","Si",238.73,"R"
"Hombre",36,"No","No",204.17,"R"
"Mujer",39,"Si","No",248.82,"R"
"Hombre",54,"Si","Si",217.11,"R"
"Hombre",51,"Si","Si",220.41,"R"
"Hombre",36,"Si","Si",208.84,"R"
"Hombre",62,"Si","No",199.94,"A"
"Hombre",49,"No","No",211.87,"R"
"Mujer",63,"Si","Si",213.27,"R"
"Mujer",24,"Si","Si",149.87,"V"
"Hombre",69,"No","No",158.72,"A"
"Hombre",45,"No","No",229.51,"R"
"Mujer",64,"No","Si",207.68,"R"
"Mujer",20,"Si","Si",108.54,"V"
"Hombre",29,"No","Si",163.92,"A"
"Hombre",58,"No","No",207.39,"R"
"Hombre",47,"Si","Si",220.68,"R"
"Hombre",53,"No","Si",229.42,"R"
"Hombre",65,"Si","Si",173.97,"A"
"Mujer",58,"No","Si",235,"R"
"Mujer",29,"Si","Si",189.28,"A"
"Mujer",24,"Si","Si",154.74,"A"
"Mujer",53,"Si","Si",249.25,"R"
"Mujer",43,"Si","Si",258.5,"R"
"Mujer",61,"Si","Si",227.27,"R"
"Hombre",59,"No","No",213.21,"R"
"Mujer",42,"Si","Si",251.66,"R"
"Hombre",69,"Si","Si",161.46,"A"
"Hombre",42,"No","Si",237.22,"R"
"Hombre",65,"No","Si",174.72,"A"
"Mujer",31,"No","No",206.59,"R"
"Mujer",31,"No","No",208.15,"R"
"Hombre",63,"Si","Si",194.87,"A"
"Hombre",22,"Si","Si",113.87,"V"
"Hombre",63,"No","Si",195.36,"A"
"Mujer",26,"Si","No",167.62,"A"
"Hombre",57,"No","No",201.04,"R"
"Hombre",21,"Si","Si",120.55,"V"
"Hombre",64,"No","Si",204.04,"R"
"Mujer",21,"Si","No",121.58,"V"
"Hombre",31,"No","No",191.62,"A"
"Hombre",57,"Si","No",220.61,"R"
"Mujer",64,"No","No",204.14,"R"
"Mujer",28,"Si","No",184.26,"A"
"Mujer",56,"Si","Si",244.4,"R"
"Hombre",47,"Si","Si",225.56,"R"
"Hombre",68,"Si","Si",178.21,"A"
"Hombre",36,"No","No",196.31,"A"
"Mujer",39,"Si","No",244.17,"R"
"Hombre",55,"Si","No",227.82,"R"
"Mujer",64,"No","No",202.49,"R"
"Hombre",66,"Si","Si",182.53,"A"
"Mujer",67,"Si","Si",184.8,"A"
"Hombre",57,"Si","Si",211.27,"R"
"Mujer",47,"Si","Si",261.8,"R"
"Hombre",70,"Si","Si",162.98,"A"
"Mujer",36,"Si","Si",236.5,"R"
"Mujer",44,"Si","No",259.41,"R"
"Mujer",32,"Si","Si",211.46,"R"
"Hombre",30,"No","Si",178.36,"A"
"Hombre",66,"No","No",170.16,"A"
"Mujer",47,"No","No",260.37,"R"
"Mujer",48,"Si","No",265.53,"R"
"Mujer",18,"Si","No",87.6,"M"
"Mujer",40,"Si","Si",253.09,"R"
"Mujer",18,"Si","No",87.29,"M"
"Mujer",26,"Si","Si",172.46,"A"
"Mujer",55,"No","Si",248.59,"R"
"Mujer",56,"Si","No",244.68,"R"
"Mujer",25,"Si","Si",158.03,"A"
"Hombre",52,"Si","Si",236.78,"R"
"Mujer",57,"No","Si",243.81,"R"
"Mujer",20,"No","No",109.1,"V"
"Mujer",49,"No","Si",257.71,"R"
"Hombre",21,"Si","Si",104.78,"V"
"Hombre",64,"No","Si",185.07,"A"
"Mujer",45,"Si","No",256.88,"R"
"Hombre",63,"No","No",188.25,"A"
"Hombre",47,"No","Si",219.87,"R"
"Mujer",56,"No","No",249.27,"R"
"Hombre",64,"No","Si",192.09,"A"
"Mujer",46,"Si","Si",257.36,"R"
"Mujer",60,"Si","Si",228.03,"R"
"Hombre",60,"Si","No",202.77,"R"
"Mujer",23,"No","No",144.22,"V"
"Mujer",64,"No","No",209.24,"R"
"Mujer",21,"Si","Si",123.99,"V"
"Hombre",55,"No","Si",209.44,"R"
"Mujer",53,"No","Si",252.73,"R"
"Hombre",57,"Si","Si",215.31,"R"
"Mujer",58,"Si","Si",239.2,"R"
"Hombre",47,"Si","Si",222.39,"R"
"Mujer",66,"No","No",190.4,"A"
"Hombre",67,"Si","Si",175.47,"A"
"Hombre",40,"Si","Si",204.7,"R"
"Hombre",51,"Si","No",222.03,"R"
"Mujer",58,"No","No",238.91,"R"
"Hombre",31,"No","Si",167.82,"A"
"Hombre",19,"No","No",105.26,"V"
"Mujer",56,"No","Si",245.95,"R"
"Hombre",28,"No","Si",169.88,"A"
"Mujer",35,"No","Si",229.71,"R"
"Mujer",53,"No","No",253.66,"R"
"Hombre",44,"No","Si",225.45,"R"
"Mujer",61,"No","No",222.8,"R"
"Hombre",54,"Si","Si",221.05,"R"
"Mujer",28,"Si","No",183.95,"A"
"Mujer",53,"Si","Si",255.42,"R"
"Hombre",24,"No","No",128.88,"V"
"Hombre",18,"Si","Si",89.09,"M"
"Mujer",21,"Si","Si",121.16,"V"
"Hombre",22,"No","No",102.94,"V"
"Mujer",54,"Si","No",253.79,"R"
"Hombre",18,"No","No",80.43,"M"
"Mujer",67,"No","Si",181.21,"A"
"Hombre",19,"No","No",90.6,"M"
"Hombre",33,"Si","No",197.72,"A"
"Mujer",41,"Si","Si",254.46,"R"
"Mujer",57,"Si","No",241.98,"R"
"Mujer",54,"No","No",251.78,"R"
"Hombre",39,"Si","No",204.76,"R"
"Mujer",52,"Si","Si",256.4,"R"
"Mujer",35,"Si","Si",231.46,"R"
"Mujer",35,"No","Si",230.16,"R"
"Mujer",42,"Si","Si",253.63,"R"
"Mujer",43,"Si","Si",260.32,"R"
"Mujer",61,"No","No",223.86,"R"
"Mujer",20,"Si","No",109.7,"V"
"Mujer",66,"Si","No",190.62,"A"
"Hombre",44,"Si","Si",221.2,"R"
"Mujer",51,"Si","Si",255.06,"R"
"Mujer",49,"Si","No",261.35,"R"
"Hombre",67,"No","No",178.32,"A"
"Hombre",47,"Si","No",225.1,"R"
"Mujer",33,"No","Si",216.19,"R"
"Hombre",26,"No","Si",153.68,"A"
"Hombre",53,"Si","Si",228.27,"R"
"Hombre",38,"Si","Si",204.57,"R"
"Mujer",32,"No","No",215.8,"R"
"Hombre",65,"Si","Si",188.93,"A"
"Hombre",33,"No","Si",188.26,"A"
"Mujer",49,"Si","Si",263.24,"R"
"Mujer",20,"No","No",110.11,"V"
"Mujer",51,"Si","No",256.63,"R"
"Hombre",64,"Si","No",178.77,"A"
"Mujer",55,"Si","No",251.52,"R"
"Mujer",63,"Si","No",214.21,"R"
"Mujer",24,"Si","Si",150.66,"A"
"Mujer",19,"No","No",99.1,"M"
"Mujer",18,"Si","Si",87.92,"M"
"Mujer",40,"No","No",249.8,"R"
"Mujer",66,"Si","No",192.37,"A"
"Mujer",60,"No","No",227.28,"R"
"Mujer",70,"Si","Si",158.69,"A"
"Hombre",20,"Si","Si",94.6,"M"
"Mujer",24,"No","Si",150.43,"A"
"Hombre",24,"No","Si",135.32,"V"
"Mujer",61,"No","Si",225.09,"R"
"Hombre",34,"Si","Si",194.02,"A"
"Mujer",35,"Si","Si",229.8,"R"
"Mujer",41,"Si","Si",253.84,"R"
"Hombre",25,"No","No",156.74,"A"
"Hombre",34,"Si","Si",193.64,"A"
"Hombre",63,"Si","Si",201.27,"R"
"Hombre",60,"No","Si",206.28,"R"
"Mujer",40,"Si","Si",250.84,"R"
"Hombre",61,"No","No",209.81,"R"
"Mujer",61,"Si","Si",225.36,"R"
"Mujer",35,"No","Si",231.07,"R"
"Mujer",25,"Si","No",162.11,"A"
"Hombre",29,"No","Si",182.59,"A"
"Mujer",34,"Si","Si",226.05,"R"
"Hombre",18,"Si","Si",105.49,"V"
"Hombre",22,"No","Si",100.34,"V"
"Mujer",58,"Si","Si",239.36,"R"
"Hombre",35,"No","Si",208.78,"R"
"Hombre",19,"No","Si",98.09,"M"
"Mujer",27,"No","No",176.71,"A"
"Hombre",32,"Si","Si",180.52,"A"
"Mujer",68,"No","No",177.32,"A"
"Hombre",38,"No","Si",221.53,"R"
"Hombre",68,"Si","Si",172.36,"A"
"Hombre",69,"No","Si",160.4,"A"
"Hombre",56,"Si","No",209.1,"R"
"Mujer",42,"Si","Si",256.56,"R"
"Mujer",39,"No","No",247.75,"R"
"Hombre",41,"Si","Si",213.88,"R"
"Hombre",23,"No","No",121.16,"V"
"Mujer",33,"Si","Si",220.86,"R"
"Hombre",60,"No","No",206.23,"R"
"Mujer",45,"Si","No",259.31,"R"
"Mujer",69,"Si","Si",169.09,"A"
"Hombre",43,"Si","Si",223.13,"R"
"Mujer",42,"No","No",255.93,"R"
"Mujer",58,"No","No",239.33,"R"
"Mujer",63,"Si","Si",216.22,"R"
"Hombre",50,"Si","Si",219.82,"R"
"Mujer",26,"Si","Si",167.97,"A"
"Mujer",50,"No","No",258.92,"R"
"Mujer",44,"No","No",259.89,"R"
"Hombre",64,"Si","Si",194.55,"A"
"Mujer",22,"Si","Si",129.81,"V"
"Hombre",30,"No","No",174.45,"A"
"Hombre",63,"No","Si",218.71,"R"
"Mujer",37,"Si","Si",239.14,"R"
"Mujer",41,"Si","Si",250.19,"R"
"Mujer",29,"Si","No",193.28,"A"
"Hombre",21,"Si","Si",116.45,"V"
"Mujer",33,"No","No",221.75,"R"
