Género;Edad;¿Paga en efectivo?;¿Compra on-line?;Gasto medio mensual
Hombre;42;No;No;223,47
Mujer;44;Si;No;258,28
Hombre;68;No;Si;163,18
Mujer;57;Si;No;240,65
Hombre;50;No;No;225,26
Mujer;28;No;No;187,47
Mujer;47;Si;Si;257,75
Mujer;21;Si;Si;123,16
Hombre;58;Si;No;228,83
Hombre;40;No;No;215,38
Mujer;67;Si;Si;184,04
Hombre;66;No;No;191,6
Hombre;57;No;Si;226,62
Mujer;53;Si;Si;258,12
Mujer;56;Si;Si;243,4
Hombre;36;Si;Si;213,99
Mujer;65;Si;No;197,8
Hombre;57;Si;Si;217,48
Mujer;68;Si;No;176,56
Hombre;67;No;No;174,28
Mujer;61;Si;No;223,28
Mujer;62;Si;Si;217,97
Mujer;18;No;Si;87,25
Hombre;22;No;No;116,01
Hombre;50;No;No;232,98
Mujer;60;No;No;229,08
Mujer;20;Si;Si;112,49
Mujer;41;Si;Si;253,81
Mujer;68;No;No;177,62
Mujer;58;No;No;241,1
Hombre;31;No;No;172,41
Mujer;18;Si;No;83,69
Hombre;38;Si;Si;202,19
Mujer;68;Si;No;178,05
Hombre;25;No;Si;149,98
Mujer;27;Si;No;178,5
Hombre;27;No;No;157,82
Mujer;28;No;Si;186,48
Hombre;53;Si;Si;227,54
Mujer;35;No;No;229,18
Hombre;22;No;No;123,07
Hombre;25;Si;Si;132,56
Mujer;41;No;Si;250,67
Mujer;22;Si;No;128,32
Mujer;48;Si;Si;261,58
Mujer;40;Si;Si;250,24
Mujer;44;Si;Si;259,46
Hombre;42;No;No;212,44
Hombre;63;No;Si;206,28
Mujer;63;Si;Si;211,81
Mujer;53;No;No;253,05
Hombre;26;No;No;159,76
Mujer;62;Si;Si;218,55
Hombre;52;Si;No;234,01
Mujer;47;No;Si;261,53
Hombre;24;Si;Si;137,52
Mujer;44;Si;Si;257,69
Hombre;51;No;No;226,88
Mujer;55;No;Si;251,02
Hombre;62;No;No;187,38
Hombre;50;Si;Si;223,7
Mujer;50;No;No;256,95
Hombre;52;Si;No;229,12
Mujer;59;Si;Si;232,25
Hombre;53;Si;No;211,87
Mujer;42;Si;Si;254,69
Hombre;24;Si;No;138,44
Hombre;63;No;Si;189,42
Mujer;22;No;Si;130,28
Hombre;37;Si;No;217,2
Hombre;29;No;No;153,72
Hombre;59;No;No;207,68
Hombre;36;No;No;221,82
Mujer;46;Si;No;261,61
Mujer;68;Si;No;177,22
Hombre;64;No;No;193,9
Hombre;58;Si;Si;213,7
Hombre;66;No;No;168,23
Hombre;53;No;No;225,91
Hombre;57;Si;Si;211,94
Mujer;59;No;No;235,38
Mujer;27;Si;Si;177,73
Hombre;52;Si;Si;221,69
Mujer;47;Si;Si;263,02
Hombre;68;Si;Si;164,18
Hombre;63;No;No;202,28
Mujer;62;No;No;219,31
Mujer;48;No;Si;263,03
Hombre;42;No;No;220,07
Mujer;30;Si;Si;200,82
Hombre;68;Si;Si;169,11
Hombre;31;No;No;182,43
Hombre;18;No;Si;84,21
Hombre;53;Si;Si;224,1
Mujer;49;No;Si;262,65
Hombre;24;No;Si;148,33
Hombre;56;No;Si;229,4
Mujer;53;Si;Si;256,83
Mujer;63;No;Si;213,04
Hombre;35;No;Si;189,62
Mujer;50;Si;Si;258,13
Mujer;37;No;Si;239,51
Mujer;31;Si;No;207,31
Hombre;30;Si;Si;174,17
Hombre;38;Si;No;199,01
Hombre;27;No;No;158,44
Mujer;34;Si;No;222,61
Hombre;24;Si;Si;127,53
Mujer;69;Si;Si;166,46
Mujer;54;No;Si;250,55
Hombre;37;Si;Si;210,26
Mujer;56;Si;Si;244,91
Hombre;45;No;No;224,91
Hombre;24;Si;No;138,87
Hombre;51;Si;Si;235,72
Hombre;55;Si;No;225,68
Hombre;26;Si;No;146,79
Mujer;38;Si;No;239,66
Hombre;57;No;No;220,16
Mujer;21;Si;Si;119,65
Mujer;36;Si;No;234,92
Hombre;52;Si;No;218,09
Mujer;38;Si;Si;240,82
Hombre;35;No;No;199,67
Mujer;70;Si;Si;161,91
Mujer;52;Si;Si;258,18
Hombre;54;Si;No;215,44
Mujer;51;No;Si;259,82
Hombre;61;Si;No;216,42
Hombre;33;No;No;198,61
Hombre;44;No;Si;219,49
Hombre;50;No;No;230,63
Hombre;21;No;Si;126,44
Hombre;63;Si;Si;199,33
Hombre;40;Si;Si;211,87
Hombre;22;Si;No;132,11
Hombre;18;No;Si;91,23
Hombre;30;Si;Si;182,66
Hombre;21;No;Si;117,68
Hombre;52;Si;No;215,38
Hombre;19;No;Si;105,24
Hombre;70;Si;Si;138,77
Mujer;57;Si;Si;245,87
Hombre;61;No;No;189,21
Hombre;69;Si;Si;170,62
Mujer;49;No;No;260,17
Mujer;23;No;Si;143,25
Mujer;50;No;No;261,03
Mujer;47;No;No;260,41
Mujer;60;Si;No;232,09
Mujer;57;Si;Si;241,17
Mujer;67;No;No;181,43
Mujer;31;No;Si;209,11
Mujer;42;Si;Si;256,76
Mujer;52;No;No;258,45
Hombre;20;No;No;99,16
Mujer;18;Si;No;87,8
Mujer;43;Si;Si;258,44
Mujer;28;Si;Si;185,52
Mujer;40;Si;Si;251,66
Mujer;44;Si;Si;260,17
Hombre;26;Si;Si;156,45
Mujer;70;Si;No;159,06
Hombre;45;Si;No;227,85
Hombre;18;No;Si;79,86
Mujer;38;Si;Si;243,74
Mujer;36;Si;Si;235,39
Hombre;32;Si;No;186,55
Mujer;62;Si;No;221,7
Hombre;49;Si;No;233,52
Hombre;36;No;Si;195,21
Mujer;42;No;Si;256,45
Mujer;18;No;No;87,79
Hombre;27;Si;Si;148,89
Hombre;41;No;No;223,58
Hombre;26;No;No;147,56
Hombre;22;No;No;126,29
Mujer;61;Si;Si;225,85
Mujer;20;Si;Si;113,35
Hombre;50;Si;Si;220,38
Mujer;70;Si;Si;163,2
Mujer;25;Si;Si;158,4
Hombre;51;No;No;235,73
Mujer;65;No;No;201,75
Hombre;24;No;Si;137,42
Hombre;45;Si;No;230,69
Mujer;58;Si;Si;240,91
Hombre;28;No;Si;153,11
Hombre;68;Si;No;166,53
Hombre;27;No;No;137,96
Hombre;54;Si;Si;222,2
Hombre;58;No;Si;213,04
Hombre;62;Si;Si;200,73
Hombre;65;Si;Si;183,76
Mujer;51;Si;No;259,1
Mujer;27;No;Si;176,01
Mujer;23;Si;Si;144,98
Hombre;49;Si;No;226,29
Mujer;46;No;No;260,57
Mujer;57;No;No;242,04
Hombre;49;No;No;238,5
Mujer;42;Si;Si;252,69
Hombre;57;Si;Si;207,23
Mujer;41;No;No;255,33
Mujer;68;No;No;174,93
Hombre;69;Si;No;173,38
Mujer;67;Si;Si;184,38
Hombre;30;No;No;181,39
Mujer;36;No;No;235,71
Mujer;55;Si;No;247,69
Hombre;64;Si;Si;194,72
Hombre;64;No;No;188,2
Hombre;62;Si;No;201,11
Mujer;58;Si;Si;235,82
Hombre;24;Si;No;135,15
Mujer;36;Si;No;235,05
Mujer;50;Si;Si;259,16
Hombre;21;No;No;107,46
Mujer;18;Si;Si;90,82
Hombre;44;No;Si;227,47
Mujer;65;Si;Si;196,44
Hombre;36;Si;Si;195,56
Hombre;50;Si;No;223,47
Mujer;59;Si;No;234,68
Mujer;56;No;Si;243,55
Hombre;41;No;No;213,26
Mujer;38;Si;Si;244,9
Hombre;58;Si;No;220,01
Hombre;68;No;Si;176,39
Hombre;26;Si;No;149,98
Mujer;60;Si;Si;228,87
Hombre;63;No;No;191,97
Mujer;44;Si;Si;257,35
Mujer;60;Si;No;231,24
Hombre;42;Si;No;205,82
Hombre;64;Si;Si;194,2
Hombre;37;No;Si;205,93
Mujer;51;Si;Si;257,19
Mujer;51;No;No;259,03
Hombre;31;No;No;168,36
Hombre;63;No;No;204,46
Hombre;41;Si;No;223,56
Hombre;39;No;Si;212,45
Hombre;61;No;No;208
Mujer;40;Si;Si;250,16
Mujer;36;Si;Si;235,42
Hombre;42;No;No;215,4
Mujer;36;Si;Si;233,07
Hombre;54;No;Si;216,5
Hombre;18;Si;Si;89,41
Mujer;28;Si;Si;187,2
Hombre;40;Si;Si;212,91
Mujer;26;Si;Si;163,26
Mujer;18;Si;Si;84,98
Mujer;53;Si;Si;254,76
Mujer;39;Si;Si;247,64
Hombre;61;No;No;196,35
Hombre;48;No;Si;213,95
Mujer;30;No;Si;199,6
Mujer;26;Si;No;169,6
Hombre;65;No;No;182,98
Mujer;68;No;Si;177,61
Mujer;24;Si;Si;152,27
Mujer;45;No;No;262,95
Mujer;53;Si;No;252,61
Hombre;51;No;Si;229,25
Mujer;29;No;No;194,24
Mujer;69;Si;Si;168,9
Mujer;66;Si;Si;195,79
Mujer;66;Si;Si;192,39
Mujer;62;Si;Si;218,23
Mujer;43;Si;No;254,76
Hombre;62;Si;No;193,19
Mujer;36;Si;Si;233,32
Mujer;39;Si;Si;243,36
Mujer;36;Si;Si;234,07
Hombre;36;No;No;202,82
Hombre;42;No;No;206,43
Hombre;19;Si;No;114,88
Hombre;35;Si;Si;207,64
Mujer;24;No;Si;149,85
Hombre;32;Si;Si;192,26
Hombre;32;Si;Si;182,26
Hombre;51;No;Si;227,18
Hombre;47;No;No;221,42
Hombre;69;Si;Si;172,63
Mujer;53;Si;Si;253,96
Mujer;23;Si;Si;140,87
Mujer;25;Si;No;158,19
Mujer;31;No;Si;206,18
Hombre;20;Si;No;108,23
Hombre;59;No;No;210,73
Hombre;58;No;Si;214,41
Mujer;69;Si;No;170,48
Hombre;41;No;No;213,06
Hombre;39;No;No;213,43
Mujer;19;Si;Si;99,76
Hombre;45;Si;Si;238,73
Hombre;36;No;No;204,17
Mujer;39;Si;No;248,82
Hombre;54;Si;Si;217,11
Hombre;51;Si;Si;220,41
Hombre;36;Si;Si;208,84
Hombre;62;Si;No;199,94
Hombre;49;No;No;211,87
Mujer;63;Si;Si;213,27
Mujer;24;Si;Si;149,87
Hombre;69;No;No;158,72
Hombre;45;No;No;229,51
Mujer;64;No;Si;207,68
Mujer;20;Si;Si;108,54
Hombre;29;No;Si;163,92
Hombre;58;No;No;207,39
Hombre;47;Si;Si;220,68
Hombre;53;No;Si;229,42
Hombre;65;Si;Si;173,97
Mujer;58;No;Si;235
Mujer;29;Si;Si;189,28
Mujer;24;Si;Si;154,74
Mujer;53;Si;Si;249,25
Mujer;43;Si;Si;258,5
Mujer;61;Si;Si;227,27
Hombre;59;No;No;213,21
Mujer;42;Si;Si;251,66
Hombre;69;Si;Si;161,46
Hombre;42;No;Si;237,22
Hombre;65;No;Si;174,72
Mujer;31;No;No;206,59
Mujer;31;No;No;208,15
Hombre;63;Si;Si;194,87
Hombre;22;Si;Si;113,87
Hombre;63;No;Si;195,36
Mujer;26;Si;No;167,62
Hombre;57;No;No;201,04
Hombre;21;Si;Si;120,55
Hombre;64;No;Si;204,04
Mujer;21;Si;No;121,58
Hombre;31;No;No;191,62
Hombre;57;Si;No;220,61
Mujer;64;No;No;204,14
Mujer;28;Si;No;184,26
Mujer;56;Si;Si;244,4
Hombre;47;Si;Si;225,56
Hombre;68;Si;Si;178,21
Hombre;36;No;No;196,31
Mujer;39;Si;No;244,17
Hombre;55;Si;No;227,82
Mujer;64;No;No;202,49
Hombre;66;Si;Si;182,53
Mujer;67;Si;Si;184,8
Hombre;57;Si;Si;211,27
Mujer;47;Si;Si;261,8
Hombre;70;Si;Si;162,98
Mujer;36;Si;Si;236,5
Mujer;44;Si;No;259,41
Mujer;32;Si;Si;211,46
Hombre;30;No;Si;178,36
Hombre;66;No;No;170,16
Mujer;47;No;No;260,37
Mujer;48;Si;No;265,53
Mujer;18;Si;No;87,6
Mujer;40;Si;Si;253,09
Mujer;18;Si;No;87,29
Mujer;26;Si;Si;172,46
Mujer;55;No;Si;248,59
Mujer;56;Si;No;244,68
Mujer;25;Si;Si;158,03
Hombre;52;Si;Si;236,78
Mujer;57;No;Si;243,81
Mujer;20;No;No;109,1
Mujer;49;No;Si;257,71
Hombre;21;Si;Si;104,78
Hombre;64;No;Si;185,07
Mujer;45;Si;No;256,88
Hombre;63;No;No;188,25
Hombre;47;No;Si;219,87
Mujer;56;No;No;249,27
Hombre;64;No;Si;192,09
Mujer;46;Si;Si;257,36
Mujer;60;Si;Si;228,03
Hombre;60;Si;No;202,77
Mujer;23;No;No;144,22
Mujer;64;No;No;209,24
Mujer;21;Si;Si;123,99
Hombre;55;No;Si;209,44
Mujer;53;No;Si;252,73
Hombre;57;Si;Si;215,31
Mujer;58;Si;Si;239,2
Hombre;47;Si;Si;222,39
Mujer;66;No;No;190,4
Hombre;67;Si;Si;175,47
Hombre;40;Si;Si;204,7
Hombre;51;Si;No;222,03
Mujer;58;No;No;238,91
Hombre;31;No;Si;167,82
Hombre;19;No;No;105,26
Mujer;56;No;Si;245,95
Hombre;28;No;Si;169,88
Mujer;35;No;Si;229,71
Mujer;53;No;No;253,66
Hombre;44;No;Si;225,45
Mujer;61;No;No;222,8
Hombre;54;Si;Si;221,05
Mujer;28;Si;No;183,95
Mujer;53;Si;Si;255,42
Hombre;24;No;No;128,88
Hombre;18;Si;Si;89,09
Mujer;21;Si;Si;121,16
Hombre;22;No;No;102,94
Mujer;54;Si;No;253,79
Hombre;18;No;No;80,43
Mujer;67;No;Si;181,21
Hombre;19;No;No;90,6
Hombre;33;Si;No;197,72
Mujer;41;Si;Si;254,46
Mujer;57;Si;No;241,98
Mujer;54;No;No;251,78
Hombre;39;Si;No;204,76
Mujer;52;Si;Si;256,4
Mujer;35;Si;Si;231,46
Mujer;35;No;Si;230,16
Mujer;42;Si;Si;253,63
Mujer;43;Si;Si;260,32
Mujer;61;No;No;223,86
Mujer;20;Si;No;109,7
Mujer;66;Si;No;190,62
Hombre;44;Si;Si;221,2
Mujer;51;Si;Si;255,06
Mujer;49;Si;No;261,35
Hombre;67;No;No;178,32
Hombre;47;Si;No;225,1
Mujer;33;No;Si;216,19
Hombre;26;No;Si;153,68
Hombre;53;Si;Si;228,27
Hombre;38;Si;Si;204,57
Mujer;32;No;No;215,8
Hombre;65;Si;Si;188,93
Hombre;33;No;Si;188,26
Mujer;49;Si;Si;263,24
Mujer;20;No;No;110,11
Mujer;51;Si;No;256,63
Hombre;64;Si;No;178,77
Mujer;55;Si;No;251,52
Mujer;63;Si;No;214,21
Mujer;24;Si;Si;150,66
Mujer;19;No;No;99,1
Mujer;18;Si;Si;87,92
Mujer;40;No;No;249,8
Mujer;66;Si;No;192,37
Mujer;60;No;No;227,28
Mujer;70;Si;Si;158,69
Hombre;20;Si;Si;94,6
Mujer;24;No;Si;150,43
Hombre;24;No;Si;135,32
Mujer;61;No;Si;225,09
Hombre;34;Si;Si;194,02
Mujer;35;Si;Si;229,8
Mujer;41;Si;Si;253,84
Hombre;25;No;No;156,74
Hombre;34;Si;Si;193,64
Hombre;63;Si;Si;201,27
Hombre;60;No;Si;206,28
Mujer;40;Si;Si;250,84
Hombre;61;No;No;209,81
Mujer;61;Si;Si;225,36
Mujer;35;No;Si;231,07
Mujer;25;Si;No;162,11
Hombre;29;No;Si;182,59
Mujer;34;Si;Si;226,05
Hombre;18;Si;Si;105,49
Hombre;22;No;Si;100,34
Mujer;58;Si;Si;239,36
Hombre;35;No;Si;208,78
Hombre;19;No;Si;98,09
Mujer;27;No;No;176,71
Hombre;32;Si;Si;180,52
Mujer;68;No;No;177,32
Hombre;38;No;Si;221,53
Hombre;68;Si;Si;172,36
Hombre;69;No;Si;160,4
Hombre;56;Si;No;209,1
Mujer;42;Si;Si;256,56
Mujer;39;No;No;247,75
Hombre;41;Si;Si;213,88
Hombre;23;No;No;121,16
Mujer;33;Si;Si;220,86
Hombre;60;No;No;206,23
Mujer;45;Si;No;259,31
Mujer;69;Si;Si;169,09
Hombre;43;Si;Si;223,13
Mujer;42;No;No;255,93
Mujer;58;No;No;239,33
Mujer;63;Si;Si;216,22
Hombre;50;Si;Si;219,82
Mujer;26;Si;Si;167,97
Mujer;50;No;No;258,92
Mujer;44;No;No;259,89
Hombre;64;Si;Si;194,55
Mujer;22;Si;Si;129,81
Hombre;30;No;No;174,45
Hombre;63;No;Si;218,71
Mujer;37;Si;Si;239,14
Mujer;41;Si;Si;250,19
Mujer;29;Si;No;193,28
Hombre;21;Si;Si;116,45
Mujer;33;No;No;221,75
Hombre;68;Si;Si;157,89
Hombre;24;Si;Si;130,33
Hombre;32;No;Si;174,76
Mujer;30;Si;No;198,57
Hombre;69;Si;No;165,57
Mujer;64;No;No;204,76
Mujer;69;Si;No;170,3
Hombre;21;Si;Si;121,35
Hombre;43;Si;No;234,69
Mujer;44;No;No;261,02
Hombre;70;No;Si;143,58
Hombre;41;Si;Si;230,43
Mujer;32;No;Si;215,67
Mujer;41;Si;Si;253,91
Mujer;60;Si;Si;232,91
Mujer;33;Si;No;217,81
Mujer;26;Si;Si;170,61
Mujer;59;Si;No;236,25
Hombre;52;Si;Si;228,15
Mujer;51;Si;No;258,7
Mujer;70;Si;No;161,18
Mujer;67;No;No;183,86
Hombre;19;Si;Si;93,84
Mujer;68;Si;No;176,89
Hombre;30;Si;No;190,48
Mujer;31;Si;No;205,79
Mujer;39;No;Si;249,19
Hombre;43;No;Si;221,01
Hombre;38;No;Si;206,53
Mujer;30;No;Si;204,12
Hombre;51;No;No;234,8
Hombre;63;No;Si;196,02
Hombre;56;No;Si;213,68
Mujer;41;Si;Si;251,84
Hombre;46;No;No;225,32
Hombre;42;Si;Si;210,98
Mujer;27;No;No;178,31
Hombre;24;No;No;138,79
Mujer;18;Si;No;87,47
Hombre;58;Si;Si;208,38
Hombre;30;No;Si;164,46
Hombre;65;Si;No;177,48
Mujer;24;Si;Si;151,19
Hombre;32;No;No;183,43
Hombre;25;No;Si;156,85
Hombre;26;No;Si;153,55
Mujer;47;No;No;263,39
Hombre;34;No;Si;200,91
Hombre;45;Si;Si;217,56
Mujer;35;Si;No;231,9
Hombre;51;No;Si;232,88
Hombre;51;No;No;215,87
Hombre;35;No;Si;196,02
Hombre;21;Si;No;106,08
Mujer;65;No;Si;202,08
Mujer;66;No;Si;194,93
Mujer;46;No;No;262,21
Mujer;25;Si;Si;159,65
Mujer;45;Si;No;255,69
Mujer;70;Si;No;158,52
Mujer;22;No;Si;131,35
Mujer;39;No;Si;248,54
Hombre;27;Si;Si;156,41
Mujer;61;Si;Si;224,85
Hombre;26;No;Si;148,25
Hombre;53;Si;Si;229,29
Mujer;64;Si;Si;203,64
Hombre;61;Si;Si;198
Mujer;29;Si;No;191,8
Mujer;56;Si;Si;245,11
Mujer;24;No;No;149,15
Hombre;66;Si;No;167,48
Hombre;36;Si;Si;221,75
Hombre;35;Si;No;208,22
Hombre;59;No;Si;219,06
Hombre;65;No;No;199,54
Hombre;56;Si;No;210,35
Hombre;40;Si;Si;211,12
Hombre;45;No;No;224,36
Mujer;29;Si;Si;190,53
Mujer;20;Si;Si;109,22
Hombre;27;No;Si;153,04
Mujer;64;Si;Si;204,93
Hombre;39;No;Si;194,55
Mujer;65;Si;Si;199,9
Hombre;50;No;No;218,82
Hombre;36;No;Si;208,67
Mujer;38;Si;No;244,19
Hombre;40;Si;Si;217,19
Mujer;55;Si;Si;248,27
Mujer;54;Si;No;252,9
Mujer;23;Si;Si;138,07
Hombre;37;Si;No;215,31
Hombre;60;No;No;214,27
Mujer;62;Si;No;217,96
Hombre;55;No;No;220,69
Mujer;52;Si;No;256,62
Mujer;53;No;No;251,88
Mujer;43;Si;No;256,8
Hombre;41;No;No;213,97
Mujer;55;No;Si;250,54
Hombre;69;No;Si;170,54
Mujer;37;No;No;242,46
Mujer;22;Si;Si;133,82
Hombre;53;Si;Si;221,71
Hombre;31;Si;No;180,86
Hombre;19;Si;Si;94,99
Hombre;62;Si;Si;180,55
Hombre;27;No;Si;145,73
Mujer;37;Si;No;237,92
Mujer;32;Si;Si;216,59
Mujer;20;Si;Si;109,83
Mujer;24;Si;Si;150,37
Hombre;40;Si;No;226,06
Hombre;52;No;No;220,48
Hombre;46;Si;Si;224,03
Mujer;53;Si;No;255,19
Mujer;59;No;Si;234,02
Mujer;44;Si;No;257,97
Hombre;24;No;No;152,3
Hombre;29;Si;Si;173,92
Hombre;57;No;No;228,94
Hombre;43;No;No;237,36
Mujer;29;Si;No;194,05
Mujer;40;Si;Si;249,66
Hombre;58;No;No;211,75
Hombre;34;Si;No;183,54
Hombre;24;Si;Si;136,22
Mujer;21;No;No;124,31
Mujer;24;No;No;153,85
Mujer;56;Si;Si;244,77
Mujer;31;Si;Si;208,41
Hombre;20;Si;No;98,16
Hombre;35;No;No;199,81
Hombre;42;No;No;225,83
Hombre;45;No;Si;225,97
Hombre;50;No;No;223,92
Mujer;52;Si;Si;258,16
Mujer;58;Si;Si;241,43
Hombre;60;No;Si;200,01
Hombre;21;No;No;114,04
Hombre;67;No;Si;185,72
Mujer;62;No;Si;216,21
Mujer;62;Si;No;223,21
Hombre;40;Si;No;220,96
Mujer;43;Si;Si;261,24
Hombre;34;No;Si;190,7
Mujer;18;Si;Si;83,92
Hombre;48;Si;No;229,81
Mujer;38;No;No;242,49
Hombre;54;No;No;224,48
Hombre;39;Si;Si;200,93
Mujer;36;No;Si;233,67
Mujer;37;Si;Si;239,45
Hombre;25;No;No;148,69
Mujer;62;Si;Si;219,68
Mujer;43;Si;No;255,61
Hombre;60;Si;No;193,85
Hombre;63;Si;Si;192,21
Mujer;31;No;No;208,69
Mujer;42;Si;No;256,68
Hombre;34;Si;Si;200,8
Mujer;25;Si;No;158,59
Hombre;48;No;Si;219,54
Hombre;18;No;Si;97,12
Mujer;70;Si;Si;156,83
Hombre;53;No;Si;215,11
Mujer;29;No;No;193,63
Hombre;45;No;Si;218,66
Hombre;70;Si;No;162,99
Hombre;70;No;No;151,94
Mujer;58;No;No;239,95
Mujer;39;No;No;244,78
Mujer;54;Si;Si;249,71
Hombre;53;Si;No;223,92
Mujer;18;Si;No;84,11
Hombre;68;Si;Si;158,5
Mujer;58;Si;Si;239,76
Hombre;32;Si;Si;188,9
Mujer;40;Si;Si;254,84
Mujer;48;No;No;260,78
Hombre;66;No;No;182,6
Mujer;23;No;No;138,3
Mujer;57;No;No;237,16
Hombre;33;No;Si;180,2
Mujer;43;No;Si;261,74
Mujer;19;Si;No;96,86
Hombre;30;Si;Si;176,77
Hombre;70;No;No;152,02
Hombre;30;Si;Si;170,45
Hombre;27;No;No;151,1
Hombre;53;No;Si;223,36
Mujer;36;Si;Si;232,57
Hombre;35;No;Si;202,25
Hombre;44;No;No;215,46
Hombre;42;No;Si;218,16
Mujer;48;Si;Si;261,53
Mujer;39;Si;No;249,1
Hombre;50;No;Si;227,47
Mujer;26;Si;Si;169,25
Mujer;37;No;No;242,44
Mujer;58;Si;Si;238,05
Mujer;57;No;Si;242,61
Hombre;52;Si;No;215,11
Hombre;60;No;No;207,98
Hombre;70;Si;Si;162,59
Mujer;56;Si;Si;244,78
Mujer;59;Si;No;233,14
Mujer;19;No;No;96,13
Hombre;39;Si;Si;218,74
Hombre;28;No;No;162,24
Hombre;21;No;Si;94,87
Mujer;23;Si;Si;139,2
Mujer;25;Si;Si;160,77
Mujer;20;Si;No;107,83
Mujer;65;Si;No;198,5
Mujer;61;Si;Si;223,47
Mujer;30;Si;No;199,66
Mujer;56;Si;Si;243,5
Hombre;26;Si;No;150,48
Hombre;34;Si;No;201,97
Hombre;39;No;Si;227,56
Hombre;43;No;No;222,85
Mujer;53;No;Si;255,17
Mujer;65;Si;No;203,47
Hombre;43;Si;Si;220,17
Hombre;56;Si;Si;200,8
Mujer;39;No;Si;244,98
Hombre;31;No;No;181,21
Hombre;69;No;Si;163,24
Mujer;52;Si;Si;258,68
Hombre;61;Si;Si;190,79
Mujer;38;Si;Si;244,03
