id,Survived,Clase,Sexo,Edad,Parientes,Precio,Embarque
293,No,2,male,36,0,12875,C
294,No,3,female,24,0,8.85,S
295,No,3,male,24,0,7.8958,S
296,No,1,male,29.6991176470588,0,27.7208,C
297,No,3,male,23.5,0,7.2292,C
298,No,1,female,2,3,151.55,S
299,Si,1,male,29.6991176470588,0,30.5,S
300,Si,1,female,50,1,247.5208,C
301,Si,3,female,29.6991176470588,0,7.75,Q
302,Si,3,male,29.6991176470588,2,23.25,Q
303,No,3,male,19,0,0,S
304,Si,2,female,29.6991176470588,0,12.35,Q
305,No,3,male,29.6991176470588,0,8.05,S
306,Si,1,male,0.92,3,151.55,S
307,Si,1,female,29.6991176470588,0,110.8833,C
308,Si,1,female,17,1,108.9,C
309,No,2,male,30,1,24,C
310,Si,1,female,30,0,56.9292,C
311,Si,1,female,24,0,83.1583,C
312,Si,1,female,18,4,262375,C
313,No,2,female,26,2,26,S
314,No,3,male,28,0,7.8958,S
315,No,2,male,43,2,26.25,S
316,Si,3,female,26,0,7.8542,S
317,Si,2,female,24,1,26,S
318,No,2,male,54,0,14,S
319,Si,1,female,31,2,164.8667,S
320,Si,1,female,40,2,134.5,C
321,No,3,male,22,0,7.25,S
322,No,3,male,27,0,7.8958,S
323,Si,2,female,30,0,12.35,Q
324,Si,2,female,22,2,29,S
325,No,3,male,29.6991176470588,10,69.55,S
326,Si,1,female,36,0,135.6333,C
327,No,3,male,61,0,6.2375,S
328,Si,2,female,36,0,13,S
329,Si,3,female,31,2,20525,S
330,Si,1,female,16,1,57.9792,C
331,Si,3,female,29.6991176470588,2,23.25,Q
332,No,1,male,45.5,0,28.5,S
333,No,1,male,38,1,153.4625,S
334,No,3,male,16,2,18,S
335,Si,1,female,29.6991176470588,1,133.65,S
336,No,3,male,29.6991176470588,0,7.8958,S
337,No,1,male,29,1,66.6,S
338,Si,1,female,41,0,134.5,C
339,Si,3,male,45,0,8.05,S
340,No,1,male,45,0,35.5,S
341,Si,2,male,2,2,26,S
342,Si,1,female,24,5,263,S
343,No,2,male,28,0,13,S
344,No,2,male,25,0,13,S
345,No,2,male,36,0,13,S
346,Si,2,female,24,0,13,S
347,Si,2,female,40,0,13,S
348,Si,3,female,29.6991176470588,1,16.1,S
349,Si,3,male,3,2,15.9,S
350,No,3,male,42,0,8.6625,S
351,No,3,male,23,0,9225,S
352,No,1,male,29.6991176470588,0,35,S
353,No,3,male,15,2,7.2292,C
354,No,3,male,25,1,17.8,S
355,No,3,male,29.6991176470588,0,7225,C
356,No,3,male,28,0,9.5,S
357,Si,1,female,22,1,55,S
358,No,2,female,38,0,13,S
359,Si,3,female,29.6991176470588,0,7.8792,Q
360,Si,3,female,29.6991176470588,0,7.8792,Q
361,No,3,male,40,5,27.9,S
362,No,2,male,29,1,27.7208,C
363,No,3,female,45,1,14.4542,C
364,No,3,male,35,0,7.05,S
365,No,3,male,29.6991176470588,1,15.5,Q
366,No,3,male,30,0,7.25,S
367,Si,1,female,60,1,75.25,C
368,Si,3,female,29.6991176470588,0,7.2292,C
369,Si,3,female,29.6991176470588,0,7.75,Q
370,Si,1,female,24,0,69.3,C
371,Si,1,male,25,1,55.4417,C
372,No,3,male,18,1,6.4958,S
373,No,3,male,19,0,8.05,S
374,No,1,male,22,0,135.6333,C
375,No,3,female,3,4,21075,S
376,Si,1,female,29.6991176470588,1,82.1708,C
377,Si,3,female,22,0,7.25,S
378,No,1,male,27,2,211.5,C
379,No,3,male,20,0,4.0125,C
380,No,3,male,19,0,7775,S
381,Si,1,female,42,0,227525,C
382,Si,3,female,1,2,15.7417,C
383,No,3,male,32,0,7925,S
384,Si,1,female,35,1,52,S
385,No,3,male,29.6991176470588,0,7.8958,S
386,No,2,male,18,0,73.5,S
387,No,3,male,1,7,46.9,S
388,Si,2,female,36,0,13,S
389,No,3,male,29.6991176470588,0,7.7292,Q
390,Si,2,female,17,0,12,C
391,Si,1,male,36,3,120,S
392,Si,3,male,21,0,7.7958,S
393,No,3,male,28,2,7925,S
394,Si,1,female,23,1,113275,C
395,Si,3,female,24,2,16.7,S
396,No,3,male,22,0,7.7958,S
397,No,3,female,31,0,7.8542,S
398,No,2,male,46,0,26,S
399,No,2,male,23,0,10.5,S
400,Si,2,female,28,0,12.65,S
401,Si,3,male,39,0,7925,S
402,No,3,male,26,0,8.05,S
403,No,3,female,21,1,9825,S
404,No,3,male,28,1,15.85,S
405,No,3,female,20,0,8.6625,S
406,No,2,male,34,1,21,S
407,No,3,male,51,0,7.75,S
408,Si,2,male,3,2,18.75,S
409,No,3,male,21,0,7775,S
410,No,3,female,29.6991176470588,4,25.4667,S
411,No,3,male,29.6991176470588,0,7.8958,S
412,No,3,male,29.6991176470588,0,6.8583,Q
413,Si,1,female,33,1,90,Q
414,No,2,male,29.6991176470588,0,0,S
415,Si,3,male,44,0,7925,S
416,No,3,female,29.6991176470588,0,8.05,S
417,Si,2,female,34,2,32.5,S
418,Si,2,female,18,2,13,S
419,No,2,male,30,0,13,S
420,No,3,female,10,2,24.15,S
421,No,3,male,29.6991176470588,0,7.8958,C
422,No,3,male,21,0,7.7333,Q
423,No,3,male,29,0,7875,S
424,No,3,female,28,2,14.4,S
425,No,3,male,18,2,20.2125,S
426,No,3,male,29.6991176470588,0,7.25,S
427,Si,2,female,28,1,26,S
428,Si,2,female,19,0,26,S
429,No,3,male,29.6991176470588,0,7.75,Q
430,Si,3,male,32,0,8.05,S
431,Si,1,male,28,0,26.55,S
432,Si,3,female,29.6991176470588,1,16.1,S
433,Si,2,female,42,1,26,S
434,No,3,male,17,0,7125,S
435,No,1,male,50,1,55.9,S
436,Si,1,female,14,3,120,S
437,No,3,female,21,4,34375,S
438,Si,2,female,24,5,18.75,S
439,No,1,male,64,5,263,S
440,No,2,male,31,0,10.5,S
441,Si,2,female,45,2,26.25,S
442,No,3,male,20,0,9.5,S
443,No,3,male,25,1,7775,S
444,Si,2,female,28,0,13,S
445,Si,3,male,29.6991176470588,0,8.1125,S
446,Si,1,male,4,2,81.8583,S
447,Si,2,female,13,1,19.5,S
448,Si,1,male,34,0,26.55,S
449,Si,3,female,5,3,19.2583,C
450,Si,1,male,52,0,30.5,S
451,No,2,male,36,3,27.75,S
452,No,3,male,29.6991176470588,1,19.9667,S
453,No,1,male,30,0,27.75,C
454,Si,1,male,49,1,89.1042,C
455,No,3,male,29.6991176470588,0,8.05,S
456,Si,3,male,29,0,7.8958,C
457,No,1,male,65,0,26.55,S
458,Si,1,female,29.6991176470588,1,51.8625,S
459,Si,2,female,50,0,10.5,S
460,No,3,male,29.6991176470588,0,7.75,Q
461,Si,1,male,48,0,26.55,S
462,No,3,male,34,0,8.05,S
463,No,1,male,47,0,38.5,S
464,No,2,male,48,0,13,S
465,No,3,male,29.6991176470588,0,8.05,S
466,No,3,male,38,0,7.05,S
467,No,2,male,29.6991176470588,0,0,S
468,No,1,male,56,0,26.55,S
469,No,3,male,29.6991176470588,0,7725,Q
470,Si,3,female,0.75,3,19.2583,C
471,No,3,male,29.6991176470588,0,7.25,S
472,No,3,male,38,0,8.6625,S
473,Si,2,female,33,3,27.75,S
474,Si,2,female,23,0,13.7917,C
475,No,3,female,22,0,9.8375,S
476,No,1,male,29.6991176470588,0,52,S
477,No,2,male,34,1,21,S
478,No,3,male,29,1,7.0458,S
479,No,3,male,22,0,7.5208,S
480,Si,3,female,2,1,12.2875,S
481,No,3,male,9,7,46.9,S
482,No,2,male,29.6991176470588,0,0,S
483,No,3,male,50,0,8.05,S
484,Si,3,female,63,0,9.5875,S
485,Si,1,male,25,1,91.0792,C
486,No,3,female,29.6991176470588,4,25.4667,S
487,Si,1,female,35,1,90,S
488,No,1,male,58,0,29.7,C
489,No,3,male,30,0,8.05,S
490,Si,3,male,9,2,15.9,S
491,No,3,male,29.6991176470588,1,19.9667,S
492,No,3,male,21,0,7.25,S
493,No,1,male,55,0,30.5,S
494,No,1,male,71,0,49.5042,C
495,No,3,male,21,0,8.05,S
496,No,3,male,29.6991176470588,0,14.4583,C
497,Si,1,female,54,1,78.2667,C
498,No,3,male,29.6991176470588,0,15.1,S
499,No,1,female,25,3,151.55,S
500,No,3,male,24,0,7.7958,S
501,No,3,male,17,0,8.6625,S
502,No,3,female,21,0,7.75,Q
503,No,3,female,29.6991176470588,0,7.6292,Q
504,No,3,female,37,0,9.5875,S
505,Si,1,female,16,0,86.5,S
506,No,1,male,18,1,108.9,C
507,Si,2,female,33,2,26,S
508,Si,1,male,29.6991176470588,0,26.55,S
509,No,3,male,28,0,22525,S
510,Si,3,male,26,0,56.4958,S
511,Si,3,male,29,0,7.75,Q
512,No,3,male,29.6991176470588,0,8.05,S
513,Si,1,male,36,0,26.2875,S
514,Si,1,female,54,1,59.4,C
515,No,3,male,24,0,7.4958,S
516,No,1,male,47,0,34.0208,S
517,Si,2,female,34,0,10.5,S
518,No,3,male,29.6991176470588,0,24.15,Q
519,Si,2,female,36,1,26,S
520,No,3,male,32,0,7.8958,S
521,Si,1,female,30,0,93.5,S
522,No,3,male,22,0,7.8958,S
523,No,3,male,29.6991176470588,0,7225,C
524,Si,1,female,44,1,57.9792,C
525,No,3,male,29.6991176470588,0,7.2292,C
526,No,3,male,40.5,0,7.75,Q
527,Si,2,female,50,0,10.5,S
528,No,1,male,29.6991176470588,0,221.7792,S
529,No,3,male,39,0,7925,S
530,No,2,male,23,3,11.5,S
531,Si,2,female,2,2,26,S
532,No,3,male,29.6991176470588,0,7.2292,C
533,No,3,male,17,2,7.2292,C
534,Si,3,female,29.6991176470588,2,22.3583,C
535,No,3,female,30,0,8.6625,S
536,Si,2,female,7,2,26.25,S
537,No,1,male,45,0,26.55,S
538,Si,1,female,30,0,106425,C
539,No,3,male,29.6991176470588,0,14.5,S
540,Si,1,female,22,2,49.5,C
541,Si,1,female,36,2,71,S
542,No,3,female,9,6,31275,S
543,No,3,female,11,6,31275,S
544,Si,2,male,32,1,26,S
545,No,1,male,50,1,106425,C
546,No,1,male,64,0,26,S
547,Si,2,female,19,1,26,S
548,Si,2,male,29.6991176470588,0,13.8625,C
549,No,3,male,33,2,20525,S
550,Si,2,male,8,2,36.75,S
551,Si,1,male,17,2,110.8833,C
552,No,2,male,27,0,26,S
553,No,3,male,29.6991176470588,0,7.8292,Q
554,Si,3,male,22,0,7225,C
555,Si,3,female,22,0,7775,S
556,No,1,male,62,0,26.55,S
557,Si,1,female,48,1,39.6,C
558,No,1,male,29.6991176470588,0,227525,C
559,Si,1,female,39,2,79.65,S
560,Si,3,female,36,1,17.4,S
561,No,3,male,29.6991176470588,0,7.75,Q
562,No,3,male,40,0,7.8958,S
563,No,2,male,28,0,13.5,S
564,No,3,male,29.6991176470588,0,8.05,S
565,No,3,female,29.6991176470588,0,8.05,S
566,No,3,male,24,2,24.15,S
567,No,3,male,19,0,7.8958,S
568,No,3,female,29,4,21075,S
569,No,3,male,29.6991176470588,0,7.2292,C
570,Si,3,male,32,0,7.8542,S
571,Si,2,male,62,0,10.5,S
572,Si,1,female,53,2,51.4792,S
573,Si,1,male,36,0,26.3875,S
574,Si,3,female,29.6991176470588,0,7.75,Q
575,No,3,male,16,0,8.05,S
576,No,3,male,19,0,14.5,S
577,Si,2,female,34,0,13,S
578,Si,1,female,39,1,55.9,S
579,No,3,female,29.6991176470588,1,14.4583,C
580,Si,3,male,32,0,7925,S
581,Si,2,female,25,2,30,S
582,Si,1,female,39,2,110.8833,C
583,No,2,male,54,0,26,S
584,No,1,male,36,0,40125,C
585,No,3,male,29.6991176470588,0,8.7125,C
586,Si,1,female,18,2,79.65,S
587,No,2,male,47,0,15,S
588,Si,1,male,60,2,79.2,C
589,No,3,male,22,0,8.05,S
590,No,3,male,29.6991176470588,0,8.05,S
591,No,3,male,35,0,7125,S
592,Si,1,female,52,1,78.2667,C
593,No,3,male,47,0,7.25,S
594,No,3,female,29.6991176470588,2,7.75,Q
595,No,2,male,37,1,26,S
596,No,3,male,36,2,24.15,S
597,Si,2,female,29.6991176470588,0,33,S
598,No,3,male,49,0,0,S
599,No,3,male,29.6991176470588,0,7225,C
600,Si,1,male,49,1,56.9292,C
601,Si,2,female,24,3,27,S
602,No,3,male,29.6991176470588,0,7.8958,S
603,No,1,male,29.6991176470588,0,42.4,S
604,No,3,male,44,0,8.05,S
605,Si,1,male,35,0,26.55,C
606,No,3,male,36,1,15.55,S
607,No,3,male,30,0,7.8958,S
608,Si,1,male,27,0,30.5,S
609,Si,2,female,22,3,41.5792,C
610,Si,1,female,40,0,153.4625,S
611,No,3,female,39,6,31275,S
612,No,3,male,29.6991176470588,0,7.05,S
613,Si,3,female,29.6991176470588,1,15.5,Q
614,No,3,male,29.6991176470588,0,7.75,Q
615,No,3,male,35,0,8.05,S
616,Si,2,female,24,3,65,S
617,No,3,male,34,2,14.4,S
618,No,3,female,26,1,16.1,S
619,Si,2,female,4,3,39,S
620,No,2,male,26,0,10.5,S
621,No,3,male,27,1,14.4542,C
622,Si,1,male,42,1,52.5542,S
623,Si,3,male,20,2,15.7417,C
624,No,3,male,21,0,7.8542,S
625,No,3,male,21,0,16.1,S
626,No,1,male,61,0,32.3208,S
627,No,2,male,57,0,12.35,Q
628,Si,1,female,21,0,77.9583,S
629,No,3,male,26,0,7.8958,S
630,No,3,male,29.6991176470588,0,7.7333,Q
631,Si,1,male,80,0,30,S
632,No,3,male,51,0,7.0542,S
633,Si,1,male,32,0,30.5,C
634,No,1,male,29.6991176470588,0,0,S
635,No,3,female,9,5,27.9,S
636,Si,2,female,28,0,13,S
637,No,3,male,32,0,7925,S
638,No,2,male,31,2,26.25,S
639,No,3,female,41,5,39.6875,S
640,No,3,male,29.6991176470588,1,16.1,S
641,No,3,male,20,0,7.8542,S
642,Si,1,female,24,0,69.3,C
643,No,3,female,2,5,27.9,S
644,Si,3,male,29.6991176470588,0,56.4958,S
645,Si,3,female,0.75,3,19.2583,C
646,Si,1,male,48,1,76.7292,C
647,No,3,male,19,0,7.8958,S
648,Si,1,male,56,0,35.5,C
649,No,3,male,29.6991176470588,0,7.55,S
650,Si,3,female,23,0,7.55,S
651,No,3,male,29.6991176470588,0,7.8958,S
652,Si,2,female,18,1,23,S
653,No,3,male,21,0,8.4333,S
654,Si,3,female,29.6991176470588,0,7.8292,Q
655,No,3,female,18,0,6.75,Q
656,No,2,male,24,2,73.5,S
657,No,3,male,29.6991176470588,0,7.8958,S
658,No,3,female,32,2,15.5,Q
659,No,2,male,23,0,13,S
660,No,1,male,58,2,113275,C
661,Si,1,male,50,2,133.65,S
662,No,3,male,40,0,7225,C
663,No,1,male,47,0,25.5875,S
664,No,3,male,36,0,7.4958,S
665,Si,3,male,20,1,7925,S
666,No,2,male,32,2,73.5,S
667,No,2,male,25,0,13,S
668,No,3,male,29.6991176470588,0,7775,S
669,No,3,male,43,0,8.05,S
670,Si,1,female,29.6991176470588,1,52,S
671,Si,2,female,40,2,39,S
672,No,1,male,31,1,52,S
673,No,2,male,70,0,10.5,S
674,Si,2,male,31,0,13,S
675,No,2,male,29.6991176470588,0,0,S
676,No,3,male,18,0,7775,S
677,No,3,male,24.5,0,8.05,S
678,Si,3,female,18,0,9.8417,S
679,No,3,female,43,7,46.9,S
680,Si,1,male,36,1,512.3292,C
681,No,3,female,29.6991176470588,0,8.1375,Q
682,Si,1,male,27,0,76.7292,C
683,No,3,male,20,0,9225,S
684,No,3,male,14,7,46.9,S
685,No,2,male,60,2,39,S
686,No,2,male,25,3,41.5792,C
687,No,3,male,14,5,39.6875,S
688,No,3,male,19,0,10.1708,S
689,No,3,male,18,0,7.7958,S
690,Si,1,female,15,1,211.3375,S
691,Si,1,male,31,1,57,S
692,Si,3,female,4,1,13.4167,C
693,Si,3,male,29.6991176470588,0,56.4958,S
694,No,3,male,25,0,7225,C
695,No,1,male,60,0,26.55,S
696,No,2,male,52,0,13.5,S
697,No,3,male,44,0,8.05,S
698,Si,3,female,29.6991176470588,0,7.7333,Q
699,No,1,male,49,2,110.8833,C
700,No,3,male,42,0,7.65,S
701,Si,1,female,18,1,227525,C
702,Si,1,male,35,0,26.2875,S
703,No,3,female,18,1,14.4542,C
704,No,3,male,25,0,7.7417,Q
705,No,3,male,26,1,7.8542,S
706,No,2,male,39,0,26,S
707,Si,2,female,45,0,13.5,S
708,Si,1,male,42,0,26.2875,S
709,Si,1,female,22,0,151.55,S
