Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2016;17827
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2015;10427
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2014;8947
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2013;8802
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2020;4386
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2019;5430
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2018;5017
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2017;4634
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2016;3808
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2015;2394
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2014;2000
Total Nacional;;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2013;1983
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2020;7078
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2019;8102
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2018;7819
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2017;7198
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2016;6247
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2015;3995
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2014;2545
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;;;2013;2771
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2020;7030
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2019;8014
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2018;7733
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2017;7156
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2016;6168
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2015;3921
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2014;2476
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2013;2718
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2020;41
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2019;75
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2018;77
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2017;36
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2016;76
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2015;69
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2014;68
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2013;47
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2020;7
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2019;13
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2018;9
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2017;6
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2016;3
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2015;5
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2014;1
Total Nacional;;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2013;6
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2020;2885
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2019;3296
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2018;2917
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2017;2764
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2016;2721
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2015;2515
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2014;2492
Total Nacional;;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2013;2628
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2020;4193
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2019;5821
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2018;6196
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2017;6595
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2016;6945
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2015;7089
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2014;6946
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;;;2013;6282
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2020;4174
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2019;5810
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2018;6181
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2017;6581
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2016;6929
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2015;7071
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2014;6926
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2013;6270
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2020;9
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2019;31
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2018;42
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2017;56
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2016;58
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2015;56
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2014;37
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2013;35
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2020;24
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2019;30
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2018;41
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2017;33
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2016;35
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2015;32
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2014;35
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2013;32
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2020;4141
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2019;5749
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2018;6098
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2017;6492
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2016;6836
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2015;6983
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2014;6854
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2013;6203
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2020;19
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2019;11
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2018;15
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2017;14
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2016;16
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2015;18
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2014;20
Total Nacional;;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2013;12
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2020;99660
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2019;141686
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2018;142426
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2017;136992
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2016;122647
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2015;74790
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2014;64620
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2013;60645
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2020;47533
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2019;71671
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2018;70102
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2017;63721
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2016;55282
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2015;20611
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2014;11606
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2013;10751
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2020;18149
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2019;24004
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2018;25756
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2017;27713
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2016;28758
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2015;29499
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2014;30815
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2013;30509
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2020;6484
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2019;7271
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2018;7263
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2017;7535
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2016;7882
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2015;8187
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2014;8755
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2013;9169
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2020;11665
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2019;16733
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2018;18493
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2017;20178
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2016;20876
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2015;21312
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2014;22060
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.2 Robo con fuerza;2013;21340
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2020;1215
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2019;1729
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2018;1846
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2017;1975
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2016;1931
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2015;2038
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2014;2322
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.4 Robo y hurto de uso de vehículo;;2013;2444
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2020;3157
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2019;4687
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2018;6028
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2017;6757
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2016;6132
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2015;3278
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2014;2402
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.5 Usurpación;;2013;1669
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2020;18212
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2019;24129
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2018;23252
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2017;21953
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2016;17736
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2015;10202
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2014;9166
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;;2013;7876
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2020;12930
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2019;17241
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2018;16250
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2017;15407
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2016;12402
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2015;6904
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2014;6175
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.1 Estafas;2013;5251
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2020;3886
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2019;5084
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2018;5082
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2017;4862
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2016;4163
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2015;2702
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2014;2511
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.2 BIS Apropiación indebida;2013;2243
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2020;1396
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2019;1804
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2018;1920
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2017;1684
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2016;1171
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2015;596
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2014;480
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.6 Defraudaciones;13.6.3 Defraudaciones de fluido eléctrico;2013;382
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.9 Daños;;2020;7609
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.9 Daños;;2019;10252
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.9 Daños;;2018;10037
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.9 Daños;;2017;9694
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.9 Daños;;2016;7838
Total Nacional;;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.9 Daños;;2015;4854
