"id","Survived","Clase","Sexo","Edad","Parientes","Precio"
"181","No",3,"female",29,10,130.982998141264
"182","No",2,"male",29,0,130.982998141264
"183","No",3,"male",9,6,313.875
"184","Si",2,"male",1,3,39
"185","Si",3,"female",4,2,22.025
"186","No",1,"male",29,0,50
"187","Si",3,"female",29,1,130.982998141264
"188","Si",1,"male",45,0,130.982998141264
"189","No",3,"male",40,2,130.982998141264
"190","No",3,"male",36,0,78.958
"191","Si",2,"female",32,0,13
"192","No",2,"male",19,0,13
"193","Si",3,"female",19,1,78.542
"194","Si",2,"male",3,2,26
"195","Si",1,"female",44,0,277.208
"196","Si",1,"female",58,0,130.982998141264
"197","No",3,"male",29,0,130.982998141264
"198","No",3,"male",42,1,84.042
"199","Si",3,"female",29,0,130.982998141264
"200","No",2,"female",24,0,13
"201","No",3,"male",28,0,130.982998141264
"202","No",3,"male",29,10,130.982998141264
"203","No",3,"male",34,0,64.958
"204","No",3,"male",29,0,7.225
"205","Si",3,"male",18,0,130.982998141264
"206","No",3,"female",2,1,104.625
"207","No",3,"male",32,1,130.982998141264
"208","Si",3,"male",26,0,187.875
"209","Si",3,"female",16,0,130.982998141264
"210","Si",1,"male",40,0,31
"211","No",3,"male",24,0,130.982998141264
"212","Si",2,"female",35,0,21
"213","No",3,"male",22,0,130.982998141264
"214","No",2,"male",30,0,13
"215","No",3,"male",29,1,130.982998141264
"216","Si",1,"female",31,1,113.275
"217","Si",3,"female",27,0,7.925
"218","No",2,"male",42,1,27
"219","Si",1,"female",32,0,762.917
"220","No",2,"male",30,0,130.982998141264
"221","Si",3,"male",16,0,130.982998141264
"222","No",2,"male",27,0,13
"223","No",3,"male",51,0,130.982998141264
"224","No",3,"male",29,0,78.958
"225","Si",1,"male",38,1,90
"226","No",3,"male",22,0,130.982998141264
"227","Si",2,"male",19,0,130.982998141264
"228","No",3,"male",29,0,130.982998141264
"229","No",2,"male",18,0,13
"230","No",3,"female",29,4,254.667
"231","Si",1,"female",35,1,83.475
"232","No",3,"male",29,0,7.775
"233","No",2,"male",59,0,130.982998141264
"234","Si",3,"female",5,6,313.875
"235","No",2,"male",24,0,130.982998141264
"236","No",3,"female",29,0,130.982998141264
"237","No",2,"male",44,1,26
"238","Si",2,"female",8,2,130.982998141264
"239","No",2,"male",19,0,130.982998141264
"240","No",2,"male",33,0,12.275
"241","No",3,"female",29,1,144.542
"242","Si",3,"female",29,1,130.982998141264
"243","No",2,"male",29,0,130.982998141264
"244","No",3,"male",22,0,7.125
"245","No",3,"male",30,0,7.225
"246","No",1,"male",44,2,90
"247","No",3,"female",25,0,7.775
"248","Si",2,"female",24,2,130.982998141264
"249","Si",1,"male",37,2,525.542
"250","No",2,"male",54,1,26
"251","No",3,"male",29,0,130.982998141264
"252","No",3,"female",29,2,104.625
"253","No",1,"male",62,0,130.982998141264
"254","No",3,"male",30,1,130.982998141264
"255","No",3,"female",41,2,202.125
"256","Si",3,"female",29,2,152.458
"257","Si",1,"female",29,0,130.982998141264
"258","Si",1,"female",30,0,130.982998141264
"259","Si",1,"female",35,0,130.982998141264
"260","Si",2,"female",50,1,26
"261","No",3,"male",29,0,130.982998141264
"262","Si",3,"male",3,6,313.875
"263","No",1,"male",52,2,130.982998141264
"264","No",1,"male",40,0,0
"265","No",3,"female",29,0,130.982998141264
"266","No",2,"male",36,0,130.982998141264
"267","No",3,"male",16,5,396.875
"268","Si",3,"male",25,1,7.775
"269","Si",1,"female",58,1,130.982998141264
"270","Si",1,"female",35,0,130.982998141264
"271","No",1,"male",29,0,31
"272","Si",3,"male",25,0,0
"273","Si",2,"female",41,1,130.982998141264
"274","No",1,"male",37,1,130.982998141264
"275","Si",3,"female",29,0,130.982998141264
"276","Si",1,"female",63,1,779.583
"277","No",3,"female",45,0,130.982998141264
"278","No",2,"male",29,0,0
"279","No",3,"male",7,5,29.125
"280","Si",3,"female",35,2,130.982998141264
"281","No",3,"male",65,0,130.982998141264
"282","No",3,"male",28,0,78.542
"283","No",3,"male",16,0,130.982998141264
"284","Si",3,"male",19,0,130.982998141264
"285","No",1,"male",29,0,26
"286","No",3,"male",33,0,86.625
"287","Si",3,"male",30,0,130.982998141264
"288","No",3,"male",22,0,78.958
"289","Si",2,"male",42,0,13
"290","Si",3,"female",22,0,130.982998141264
"291","Si",1,"female",26,0,130.982998141264
"292","Si",1,"female",19,1,910.792
"293","No",2,"male",36,0,12.875
"294","No",3,"female",24,0,130.982998141264
"295","No",3,"male",24,0,78.958
"296","No",1,"male",29,0,277.208
"297","No",3,"male",29,0,72.292
"298","No",1,"female",2,3,130.982998141264
"299","Si",1,"male",29,0,130.982998141264
"300","Si",1,"female",50,1,130.982998141264
"301","Si",3,"female",29,0,130.982998141264
"302","Si",3,"male",29,2,130.982998141264
"303","No",3,"male",19,0,0
"304","Si",2,"female",29,0,130.982998141264
"305","No",3,"male",29,0,130.982998141264
"306","Si",1,"male",29,3,130.982998141264
"307","Si",1,"female",29,0,130.982998141264
"308","Si",1,"female",17,1,130.982998141264
"309","No",2,"male",30,1,24
"310","Si",1,"female",30,0,569.292
"311","Si",1,"female",24,0,831.583
"312","Si",1,"female",18,4,262.375
"313","No",2,"female",26,2,26
"314","No",3,"male",28,0,78.958
"315","No",2,"male",43,2,130.982998141264
"316","Si",3,"female",26,0,78.542
"317","Si",2,"female",24,1,26
"318","No",2,"male",54,0,14
"319","Si",1,"female",31,2,130.982998141264
"320","Si",1,"female",40,2,130.982998141264
"321","No",3,"male",22,0,130.982998141264
"322","No",3,"male",27,0,78.958
"323","Si",2,"female",30,0,130.982998141264
"324","Si",2,"female",22,2,29
"325","No",3,"male",29,10,130.982998141264
"326","Si",1,"female",36,0,130.982998141264
"327","No",3,"male",61,0,62.375
"328","Si",2,"female",36,0,13
"329","Si",3,"female",31,2,20.525
"330","Si",1,"female",16,1,579.792
"331","Si",3,"female",29,2,130.982998141264
"332","No",1,"male",29,0,130.982998141264
"333","No",1,"male",38,1,130.982998141264
"334","No",3,"male",16,2,18
"335","Si",1,"female",29,1,130.982998141264
"336","No",3,"male",29,0,78.958
"337","No",1,"male",29,1,130.982998141264
"338","Si",1,"female",41,0,130.982998141264
"339","Si",3,"male",45,0,130.982998141264
"340","No",1,"male",45,0,130.982998141264
"341","Si",2,"male",2,2,26
"342","Si",1,"female",24,5,263
"343","No",2,"male",28,0,13
"344","No",2,"male",25,0,13
"345","No",2,"male",36,0,13
"346","Si",2,"female",24,0,13
"347","Si",2,"female",40,0,13
"348","Si",3,"female",29,1,130.982998141264
"349","Si",3,"male",3,2,130.982998141264
"350","No",3,"male",42,0,86.625
"351","No",3,"male",23,0,9.225
"352","No",1,"male",29,0,35
"353","No",3,"male",15,2,72.292
"354","No",3,"male",25,1,130.982998141264
"355","No",3,"male",29,0,7.225
"356","No",3,"male",28,0,130.982998141264
"357","Si",1,"female",22,1,55
"358","No",2,"female",38,0,13
"359","Si",3,"female",29,0,78.792
"360","Si",3,"female",29,0,78.792
"361","No",3,"male",40,5,130.982998141264
"362","No",2,"male",29,1,277.208
"363","No",3,"female",45,1,144.542
"364","No",3,"male",35,0,130.982998141264
"365","No",3,"male",29,1,130.982998141264
"366","No",3,"male",30,0,130.982998141264
"367","Si",1,"female",60,1,130.982998141264
"368","Si",3,"female",29,0,72.292
"369","Si",3,"female",29,0,130.982998141264
"370","Si",1,"female",24,0,130.982998141264
"371","Si",1,"male",25,1,554.417
"372","No",3,"male",18,1,64.958
"373","No",3,"male",19,0,130.982998141264
"374","No",1,"male",22,0,130.982998141264
"375","No",3,"female",3,4,21.075
"376","Si",1,"female",29,1,821.708
"377","Si",3,"female",22,0,130.982998141264
"378","No",1,"male",27,2,130.982998141264
"379","No",3,"male",20,0,40.125
"380","No",3,"male",19,0,7.775
"381","Si",1,"female",42,0,227.525
"382","Si",3,"female",1,2,157.417
"383","No",3,"male",32,0,7.925
"384","Si",1,"female",35,1,52
"385","No",3,"male",29,0,78.958
"386","No",2,"male",18,0,130.982998141264
"387","No",3,"male",1,7,130.982998141264
"388","Si",2,"female",36,0,13
"389","No",3,"male",29,0,77.292
"390","Si",2,"female",17,0,12
"391","Si",1,"male",36,3,120
"392","Si",3,"male",21,0,77.958
"393","No",3,"male",28,2,7.925
"394","Si",1,"female",23,1,113.275
"395","Si",3,"female",24,2,130.982998141264
"396","No",3,"male",22,0,77.958
"397","No",3,"female",31,0,78.542
"398","No",2,"male",46,0,26
"399","No",2,"male",23,0,130.982998141264
"400","Si",2,"female",28,0,130.982998141264
"401","Si",3,"male",39,0,7.925
"402","No",3,"male",26,0,130.982998141264
"403","No",3,"female",21,1,9.825
"404","No",3,"male",28,1,130.982998141264
"405","No",3,"female",20,0,86.625
"406","No",2,"male",34,1,21
"407","No",3,"male",51,0,130.982998141264
"408","Si",2,"male",3,2,130.982998141264
"409","No",3,"male",21,0,7.775
"410","No",3,"female",29,4,254.667
"411","No",3,"male",29,0,78.958
"412","No",3,"male",29,0,68.583
"413","Si",1,"female",33,1,90
"414","No",2,"male",29,0,0
"415","Si",3,"male",44,0,7.925
"416","No",3,"female",29,0,130.982998141264
"417","Si",2,"female",34,2,130.982998141264
"418","Si",2,"female",18,2,13
"419","No",2,"male",30,0,13
"420","No",3,"female",10,2,130.982998141264
"421","No",3,"male",29,0,78.958
"422","No",3,"male",21,0,77.333
"423","No",3,"male",29,0,7.875
"424","No",3,"female",28,2,130.982998141264
"425","No",3,"male",18,2,202.125
"426","No",3,"male",29,0,130.982998141264
"427","Si",2,"female",28,1,26
"428","Si",2,"female",19,0,26
"429","No",3,"male",29,0,130.982998141264
"430","Si",3,"male",32,0,130.982998141264
"431","Si",1,"male",28,0,130.982998141264
"432","Si",3,"female",29,1,130.982998141264
"433","Si",2,"female",42,1,26
"434","No",3,"male",17,0,7.125
"435","No",1,"male",50,1,130.982998141264
"436","Si",1,"female",14,3,120
"437","No",3,"female",21,4,34.375
"438","Si",2,"female",24,5,130.982998141264
"439","No",1,"male",64,5,263
"440","No",2,"male",31,0,130.982998141264
"441","Si",2,"female",45,2,130.982998141264
"442","No",3,"male",20,0,130.982998141264
"443","No",3,"male",25,1,7.775
"444","Si",2,"female",28,0,13
"445","Si",3,"male",29,0,81.125
"446","Si",1,"male",4,2,818.583
"447","Si",2,"female",13,1,130.982998141264
"448","Si",1,"male",34,0,130.982998141264
"449","Si",3,"female",5,3,192.583
"450","Si",1,"male",52,0,130.982998141264
"451","No",2,"male",36,3,130.982998141264
"452","No",3,"male",29,1,199.667
"453","No",1,"male",30,0,130.982998141264
"454","Si",1,"male",49,1,891.042
"455","No",3,"male",29,0,130.982998141264
"456","Si",3,"male",29,0,78.958
"457","No",1,"male",65,0,130.982998141264
"458","Si",1,"female",29,1,518.625
"459","Si",2,"female",50,0,130.982998141264
"460","No",3,"male",29,0,130.982998141264
"461","Si",1,"male",48,0,130.982998141264
"462","No",3,"male",34,0,130.982998141264
"463","No",1,"male",47,0,130.982998141264
"464","No",2,"male",48,0,13
"465","No",3,"male",29,0,130.982998141264
"466","No",3,"male",38,0,130.982998141264
"467","No",2,"male",29,0,0
"468","No",1,"male",56,0,130.982998141264
"469","No",3,"male",29,0,7.725
"470","Si",3,"female",29,3,192.583
"471","No",3,"male",29,0,130.982998141264
"472","No",3,"male",38,0,86.625
"473","Si",2,"female",33,3,130.982998141264
"474","Si",2,"female",23,0,137.917
"475","No",3,"female",22,0,98.375
"476","No",1,"male",29,0,52
"477","No",2,"male",34,1,21
"478","No",3,"male",29,1,70.458
"479","No",3,"male",22,0,75.208
"480","Si",3,"female",2,1,122.875
"481","No",3,"male",9,7,130.982998141264
"482","No",2,"male",29,0,0
"483","No",3,"male",50,0,130.982998141264
"484","Si",3,"female",63,0,95.875
"485","Si",1,"male",25,1,910.792
"486","No",3,"female",29,4,254.667
"487","Si",1,"female",35,1,90
"488","No",1,"male",58,0,130.982998141264
"489","No",3,"male",30,0,130.982998141264
"490","Si",3,"male",9,2,130.982998141264
"491","No",3,"male",29,1,199.667
"492","No",3,"male",21,0,130.982998141264
"493","No",1,"male",55,0,130.982998141264
"494","No",1,"male",71,0,495.042
"495","No",3,"male",21,0,130.982998141264
"496","No",3,"male",29,0,144.583
"497","Si",1,"female",54,1,782.667
"498","No",3,"male",29,0,130.982998141264
"499","No",1,"female",25,3,130.982998141264
"500","No",3,"male",24,0,77.958
"501","No",3,"male",17,0,86.625
"502","No",3,"female",21,0,130.982998141264
"503","No",3,"female",29,0,76.292
"504","No",3,"female",37,0,95.875
"505","Si",1,"female",16,0,130.982998141264
"506","No",1,"male",18,1,130.982998141264
"507","Si",2,"female",33,2,26
"508","Si",1,"male",29,0,130.982998141264
"509","No",3,"male",28,0,22.525
"510","Si",3,"male",26,0,564.958
"511","Si",3,"male",29,0,130.982998141264
"512","No",3,"male",29,0,130.982998141264
"513","Si",1,"male",36,0,262.875
"514","Si",1,"female",54,1,130.982998141264
"515","No",3,"male",24,0,74.958
"516","No",1,"male",47,0,340.208
"517","Si",2,"female",34,0,130.982998141264
"518","No",3,"male",29,0,130.982998141264
"519","Si",2,"female",36,1,26
"520","No",3,"male",32,0,78.958
"521","Si",1,"female",30,0,130.982998141264
"522","No",3,"male",22,0,78.958
"523","No",3,"male",29,0,7.225
"524","Si",1,"female",44,1,579.792
"525","No",3,"male",29,0,72.292
"526","No",3,"male",29,0,130.982998141264
"527","Si",2,"female",50,0,130.982998141264
"528","No",1,"male",29,0,130.982998141264
"529","No",3,"male",39,0,7.925
"530","No",2,"male",23,3,130.982998141264
"531","Si",2,"female",2,2,26
"532","No",3,"male",29,0,72.292
"533","No",3,"male",17,2,72.292
"534","Si",3,"female",29,2,223.583
"535","No",3,"female",30,0,86.625
"536","Si",2,"female",7,2,130.982998141264
"537","No",1,"male",45,0,130.982998141264
"538","Si",1,"female",30,0,106.425
"539","No",3,"male",29,0,130.982998141264
"540","Si",1,"female",22,2,130.982998141264
"541","Si",1,"female",36,2,71
"542","No",3,"female",9,6,31.275
"543","No",3,"female",11,6,31.275
"544","Si",2,"male",32,1,26
"545","No",1,"male",50,1,106.425
"546","No",1,"male",64,0,26
"547","Si",2,"female",19,1,26
"548","Si",2,"male",29,0,138.625
"549","No",3,"male",33,2,20.525
"550","Si",2,"male",8,2,130.982998141264
"551","Si",1,"male",17,2,130.982998141264
"552","No",2,"male",27,0,26
"553","No",3,"male",29,0,78.292
"554","Si",3,"male",22,0,7.225
"555","Si",3,"female",22,0,7.775
"556","No",1,"male",62,0,130.982998141264
"557","Si",1,"female",48,1,130.982998141264
"558","No",1,"male",29,0,227.525
"559","Si",1,"female",39,2,130.982998141264
"560","Si",3,"female",36,1,130.982998141264
"561","No",3,"male",29,0,130.982998141264
"562","No",3,"male",40,0,78.958
"563","No",2,"male",28,0,130.982998141264
"564","No",3,"male",29,0,130.982998141264
"565","No",3,"female",29,0,130.982998141264
"566","No",3,"male",24,2,130.982998141264
"567","No",3,"male",19,0,78.958
"568","No",3,"female",29,4,21.075
"569","No",3,"male",29,0,72.292
"570","Si",3,"male",32,0,78.542
"571","Si",2,"male",62,0,130.982998141264
"572","Si",1,"female",53,2,514.792
"573","Si",1,"male",36,0,263.875
"574","Si",3,"female",29,0,130.982998141264
"575","No",3,"male",16,0,130.982998141264
"576","No",3,"male",19,0,130.982998141264
"577","Si",2,"female",34,0,13
"578","Si",1,"female",39,1,130.982998141264
"579","No",3,"female",29,1,144.583
"580","Si",3,"male",32,0,7.925
"581","Si",2,"female",25,2,30
"582","Si",1,"female",39,2,130.982998141264
"583","No",2,"male",54,0,26
"584","No",1,"male",36,0,40.125
"585","No",3,"male",29,0,87.125
"586","Si",1,"female",18,2,130.982998141264
"587","No",2,"male",47,0,15
"588","Si",1,"male",60,2,130.982998141264
"589","No",3,"male",22,0,130.982998141264
"590","No",3,"male",29,0,130.982998141264
"591","No",3,"male",35,0,7.125
"592","Si",1,"female",52,1,782.667
"593","No",3,"male",47,0,130.982998141264
"594","No",3,"female",29,2,130.982998141264
"595","No",2,"male",37,1,26
"596","No",3,"male",36,2,130.982998141264
"597","Si",2,"female",29,0,33
"598","No",3,"male",49,0,0
"599","No",3,"male",29,0,7.225
"600","Si",1,"male",49,1,569.292
"601","Si",2,"female",24,3,27
"602","No",3,"male",29,0,78.958
"603","No",1,"male",29,0,130.982998141264
"604","No",3,"male",44,0,130.982998141264
"605","Si",1,"male",35,0,130.982998141264
"606","No",3,"male",36,1,130.982998141264
"607","No",3,"male",30,0,78.958
"608","Si",1,"male",27,0,130.982998141264
"609","Si",2,"female",22,3,415.792
"610","Si",1,"female",40,0,130.982998141264
"611","No",3,"female",39,6,31.275
"612","No",3,"male",29,0,130.982998141264
"613","Si",3,"female",29,1,130.982998141264
"614","No",3,"male",29,0,130.982998141264
"615","No",3,"male",35,0,130.982998141264
"616","Si",2,"female",24,3,65
"617","No",3,"male",34,2,130.982998141264
"618","No",3,"female",26,1,130.982998141264
"619","Si",2,"female",4,3,39
"620","No",2,"male",26,0,130.982998141264
"621","No",3,"male",27,1,144.542
"622","Si",1,"male",42,1,525.542
"623","Si",3,"male",20,2,157.417
"624","No",3,"male",21,0,78.542
"625","No",3,"male",21,0,130.982998141264
"626","No",1,"male",61,0,323.208
"627","No",2,"male",57,0,130.982998141264
"628","Si",1,"female",21,0,779.583
"629","No",3,"male",26,0,78.958
"630","No",3,"male",29,0,77.333
"631","Si",1,"male",80,0,30
"632","No",3,"male",51,0,70.542
"633","Si",1,"male",32,0,130.982998141264
"634","No",1,"male",29,0,0
"635","No",3,"female",9,5,130.982998141264
"636","Si",2,"female",28,0,13
"637","No",3,"male",32,0,7.925
"638","No",2,"male",31,2,130.982998141264
"639","No",3,"female",41,5,396.875
"640","No",3,"male",29,1,130.982998141264
"641","No",3,"male",20,0,78.542
"642","Si",1,"female",24,0,130.982998141264
"643","No",3,"female",2,5,130.982998141264
"644","Si",3,"male",29,0,564.958
"645","Si",3,"female",29,3,192.583
"646","Si",1,"male",48,1,767.292
"647","No",3,"male",19,0,78.958
"648","Si",1,"male",56,0,130.982998141264
"649","No",3,"male",29,0,130.982998141264
"650","Si",3,"female",23,0,130.982998141264
"651","No",3,"male",29,0,78.958
"652","Si",2,"female",18,1,23
"653","No",3,"male",21,0,84.333
"654","Si",3,"female",29,0,78.292
"655","No",3,"female",18,0,130.982998141264
"656","No",2,"male",24,2,130.982998141264
"657","No",3,"male",29,0,78.958
"658","No",3,"female",32,2,130.982998141264
"659","No",2,"male",23,0,13
"660","No",1,"male",58,2,113.275
"661","Si",1,"male",50,2,130.982998141264
"662","No",3,"male",40,0,7.225
"663","No",1,"male",47,0,255.875
"664","No",3,"male",36,0,74.958
"665","Si",3,"male",20,1,7.925
"666","No",2,"male",32,2,130.982998141264
"667","No",2,"male",25,0,13
"668","No",3,"male",29,0,7.775
"669","No",3,"male",43,0,130.982998141264
"670","Si",1,"female",29,1,52
"671","Si",2,"female",40,2,39
"672","No",1,"male",31,1,52
"673","No",2,"male",70,0,130.982998141264
"674","Si",2,"male",31,0,13
"675","No",2,"male",29,0,0
"676","No",3,"male",18,0,7.775
"677","No",3,"male",29,0,130.982998141264
"678","Si",3,"female",18,0,98.417
"679","No",3,"female",43,7,130.982998141264
"680","Si",1,"male",36,1,130.982998141264
"681","No",3,"female",29,0,81.375
"682","Si",1,"male",27,0,767.292
"683","No",3,"male",20,0,9.225
"684","No",3,"male",14,7,130.982998141264
"685","No",2,"male",60,2,39
"686","No",2,"male",25,3,415.792
"687","No",3,"male",14,5,396.875
"688","No",3,"male",19,0,101.708
"689","No",3,"male",18,0,77.958
"690","Si",1,"female",15,1,130.982998141264
"691","Si",1,"male",31,1,57
"692","Si",3,"female",4,1,134.167
"693","Si",3,"male",29,0,564.958
"694","No",3,"male",25,0,7.225
"695","No",1,"male",60,0,130.982998141264
"696","No",2,"male",52,0,130.982998141264
"697","No",3,"male",44,0,130.982998141264
"698","Si",3,"female",29,0,77.333
"699","No",1,"male",49,2,130.982998141264
"700","No",3,"male",42,0,130.982998141264
"701","Si",1,"female",18,1,227.525
"702","Si",1,"male",35,0,262.875
"703","No",3,"female",18,1,144.542
"704","No",3,"male",25,0,77.417
"705","No",3,"male",26,1,78.542
"706","No",2,"male",39,0,26
"707","Si",2,"female",45,0,130.982998141264
"708","Si",1,"male",42,0,262.875
"709","Si",1,"female",22,0,130.982998141264
"710","Si",3,"male",29,2,152.458
"711","Si",1,"female",24,0,495.042
"712","No",1,"male",29,0,130.982998141264
"713","Si",1,"male",48,1,52
"714","No",3,"male",29,0,94.833
"715","No",2,"male",52,0,13
"716","No",3,"male",19,0,130.982998141264
"717","Si",1,"female",38,0,227.525
"718","Si",2,"female",27,0,130.982998141264
"719","No",3,"male",29,0,130.982998141264
"720","No",3,"male",33,0,7.775
"721","Si",2,"female",6,1,33
"722","No",3,"male",17,1,70.542
"723","No",2,"male",34,0,13
